df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,battery
11.637,89
21.614,89
31.851,89
41.702,89
51.697,89
61.639,89
71.633,89
81.730,88
91.719,88
101.615,88
111.619,88
121.603,88
131.641,88
141.640,88
151.683,88
161.590,88
171.622,88
181.616,88
191.682,88
201.702,88
211.601,88
221.648,88
231.686,88
241.686,88
251.575,88
261.717,88
271.611,88
281.655,88
291.746,88
301.642,88
311.589,88
321.582,88
331.576,88
341.671,88
351.564,88
361.705,88
371.609,88
381.595,88
391.589,88
401.637,88
411.578,88
421.572,88
431.711,88
441.852,88
451.603,88
461.596,88
471.594,88
481.583,88
491.576,88
501.569,87
511.561,87
521.555,87
531.547,87
541.540,87
551.533,87
561.575,87
571.607,87
581.568,87
591.554,87
601.567,87
611.637,87
621.665,87
631.579,87
641.573,87
651.560,87
661.567,87
671.596,87
681.543,87
691.539,87
701.578,87
711.568,87
721.513,87
731.506,87
741.548,87
751.549,87
761.534,87
771.528,87
781.523,87
791.517,87
801.897,87
811.626,87
821.645,87
831.494,87
841.490,87
851.523,87
861.517,87
871.509,87
881.603,87
891.503,87
901.496,87
1171.543,87
1181.536,87
