df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,omega
89.577,0.592
92.375,0.587
93.138,0.592
93.721,0.597
94.388,0.601
94.992,0.604
96.383,0.601
96.905,0.604
114.351,0.601
116.290,0.604
116.981,0.604
117.710,0.605
118.489,0.606
120.686,0.606
121.135,0.606
131.409,0.606
136.531,0.606
170.365,0.606
171.727,0.606
184.542,0.615
198.699,0.615
220.965,0.615
239.256,0.615
247.049,0.605
250.607,0.607
315.990,0.602
321.439,0.603
359.224,0.597
368.059,0.600
407.678,0.564
436.498,0.595
447.318,0.596
447.399,0.597
529.613,0.655
665.315,0.822
678.640,0.748
682.863,0.706
686.470,0.694
706.644,0.706
714.691,0.760
743.703,0.706
748.777,0.694
752.869,0.681
757.445,0.681
762.518,0.681
763.164,0.659
