df_hash,22ZHK4.JN5XDQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z542
person_label,V150
date_time_start,2026-06-08_18-01-19.110000_+03
date_time_start_unix,1780923679.11
date_time_end,2026-06-08_18-21-11.009000_+03
length_difference_noticed,no

time,rr_int
12.939,7410
13.618,675
14.350,670
15.033,665
15.822,710
16.452,685
17.129,660
17.665,685
18.494,690
19.078,725
19.761,680
20.446,665
21.275,700
21.858,675
22.394,640
23.081,655
23.807,675
24.636,750
25.319,715
26.007,700
26.687,705
27.269,695
27.964,685
28.781,690
29.707,720
30.243,705
30.876,700
31.806,710
32.345,715
32.982,690
33.757,695
34.436,710
35.075,755
35.766,730
36.581,715
37.266,755
37.990,730
38.628,675
39.359,665
40.491,730
41.224,1170
41.861,700
42.441,580
42.968,645
43.649,635
44.478,675
44.771,770
45.165,310
46.039,315
46.574,960
46.578,605
48.684,1205
49.353,765
50.865,755
51.596,1485
52.279,720
52.964,765
53.654,720
54.375,665
55.063,690
56.035,710
56.423,680
57.153,690
57.843,710
58.519,665
59.201,705
59.933,685
60.615,755
61.300,710
62.127,745
62.858,765
63.546,775
64.236,700
65.111,715
65.837,735
66.465,710
67.148,720
67.981,755
68.659,745
69.390,685
70.073,700
70.609,705
71.341,680
72.169,705
72.852,750
73.543,725
74.217,710
74.948,740
75.630,710
76.313,670
77.044,700
77.731,705
78.458,675
79.092,680
79.778,695
80.360,670
81.046,615
81.726,625
82.310,630
83.138,745
83.873,810
84.504,690
85.088,640
85.771,655
86.358,625
87.039,640
87.599,635
88.257,640
89.040,630
89.524,640
90.207,650
90.938,690
91.621,670
92.303,700
92.986,730
93.668,680
94.303,650
94.936,645
95.524,640
96.208,655
96.888,635
97.569,665
98.354,695
98.840,680
98.982,685
99.519,10
100.202,615
100.932,735
101.469,615
102.054,625
102.740,620
103.711,665
104.689,960
105.515,955
106.348,875
107.173,855
107.877,830
108.538,690
109.269,670
109.810,660
110.732,685
111.230,660
111.905,680
112.610,715
113.266,735
114.342,695
114.828,725
115.512,720
116.197,735
116.926,695
117.654,705
118.337,705
119.010,670
119.750,675
120.409,695
121.067,720
121.749,680
122.480,695
123.163,720
123.846,700
124.529,710
125.260,740
125.945,740
126.630,675
127.307,690
128.043,695
128.770,655
129.257,675
129.306,685
129.989,10
130.671,685
131.353,665
131.360,685
132.041,10
132.767,730
133.450,690
134.140,685
134.815,700
135.498,685
136.237,670
136.913,685
137.447,680
138.185,670
138.862,675
139.548,705
140.227,680
140.958,670
141.646,685
142.177,680
142.907,670
143.736,705
144.321,715
144.957,660
145.638,660
146.371,650
146.919,610
147.499,640
148.173,640
148.855,685
149.543,675
150.123,660
150.805,675
151.098,700
151.103,185
151.509,20
152.226,445
152.755,645
153.438,650
154.037,620
154.706,610
155.242,620
155.940,670
155.973,660
156.655,10
156.661,630
157.192,10
157.880,635
158.606,675
159.289,685
159.827,660
160.560,675
161.238,675
161.921,660
162.505,650
163.338,670
163.876,725
164.699,695
165.382,715
166.114,725
166.810,690
167.480,700
168.161,705
168.746,685
169.428,670
170.306,700
170.310,740
171.386,10
171.671,700
171.677,735
172.500,10
173.182,760
173.865,730
174.596,700
175.295,745
175.964,720
176.692,680
177.377,705
178.058,705
178.743,675
179.422,695
180.154,725
180.843,725
181.770,715
182.396,740
183.079,735
183.766,690
184.444,700
184.448,730
185.127,10
185.960,695
186.647,700
187.518,730
188.052,740
188.783,705
189.417,720
190.200,740
190.835,700
191.520,715
192.347,730
192.961,730
193.707,680
194.440,695
194.974,720
195.710,680
196.539,690
196.688,730
197.233,10
197.900,720
198.634,705
198.679,715
199.319,10
199.995,745
200.288,670
200.678,250
201.411,445
202.096,730
202.774,700
203.462,680
204.188,690
204.871,720
205.564,685
206.238,730
206.968,705
207.699,680
208.379,690
209.015,720
209.844,715
210.575,720
211.257,760
211.944,755
212.769,715
213.500,730
214.047,700
215.014,655
215.450,660
215.986,675
216.669,640
217.411,675
218.083,720
218.765,705
219.447,685
220.276,715
220.861,725
221.581,665
222.227,680
222.964,680
223.640,675
224.323,655
225.005,690
225.736,710
226.423,700
227.249,740
227.930,800
228.661,735
229.392,715
229.638,675
230.026,330
230.473,360
231.833,525
231.838,1225
232.172,10
233.683,405
234.121,1540
234.755,445
235.050,645
236.559,275
238.119,1510
238.125,1475
238.268,100
238.366,80
238.384,10
238.656,140
239.199,300
239.240,640
239.923,10
240.800,695
241.434,725
242.412,710
242.806,700
243.531,715
244.362,710
244.898,675
245.579,705
246.316,730
246.992,675
247.678,700
248.522,705
248.942,685
249.627,685
250.551,700
251.038,740
251.726,650
252.403,665
253.028,640
253.671,625
253.674,625
254.208,10
254.939,655
255.623,645
256.157,645
256.888,655
257.620,710
258.253,705
258.939,670
259.665,665
260.204,650
260.986,660
261.472,645
262.205,635
262.885,700
263.526,665
264.251,710
264.494,730
264.640,175
264.933,180
265.615,320
266.325,700
267.175,700
267.716,750
268.500,665
269.089,710
269.856,690
270.492,705
271.184,685
272.010,710
272.148,725
272.151,225
272.587,10
273.278,440
274.161,650
275.755,775
277.218,1790
277.518,1410
277.757,20
278.000,720
278.827,275
279.510,665
280.201,605
280.338,670
280.342,165
280.390,10
280.405,25
280.408,20
281.074,10
281.111,455
281.314,80
