df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,battery
13.294,82
23.334,82
33.329,82
43.418,82
53.368,82
63.367,82
73.399,82
83.441,82
93.466,82
103.331,82
113.416,82
123.318,82
133.412,82
143.354,82
153.350,82
163.341,82
173.391,82
183.394,81
193.369,81
203.369,81
213.321,81
223.369,81
233.419,81
243.450,81
253.464,81
263.373,81
273.364,81
283.368,81
293.412,81
303.462,81
313.468,81
323.404,81
333.353,81
343.503,81
353.398,81
363.451,81
373.392,81
383.438,81
393.343,81
403.433,81
413.432,81
423.474,81
433.471,81
443.519,81
453.396,81
463.471,81
473.409,81
483.357,81
493.491,81
503.468,81
513.526,81
523.438,81
533.507,81
543.480,81
553.377,81
563.377,81
573.420,81
583.510,81
593.408,81
603.452,80
613.526,80
623.444,80
633.487,80
643.386,80
653.485,80
663.538,80
673.374,80
683.415,80
693.411,80
703.455,80
713.401,80
723.445,80
733.391,80
743.483,80
753.479,80
763.474,80
773.517,80
783.415,80
793.414,80
803.404,80
813.406,80
823.443,80
