df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,rr_int
9.976,4220
10.225,1140
10.467,260
10.708,360
11.244,260
11.780,340
12.902,615
13.291,1485
14.266,320
14.513,645
14.745,530
15.588,625
15.973,250
16.219,305
16.316,325
16.460,265
17.781,605
18.217,605
18.995,600
19.580,650
19.874,655
20.217,295
21.096,375
21.389,1015
22.464,255
22.603,1145
23.529,910
23.777,315
24.065,230
24.068,10
24.121,85
25.527,810
26.112,550
26.454,660
26.794,305
27.380,355
28.211,655
28.452,655
28.553,235
29.289,270
30.455,655
30.646,1200
31.134,235
31.528,355
32.372,615
32.941,595
33.438,585
34.061,590
34.744,605
35.277,620
35.867,590
36.302,600
37.112,595
37.670,620
38.317,610
38.888,615
39.489,595
40.175,585
40.742,645
41.333,650
41.956,685
42.578,655
43.337,625
43.905,635
44.599,620
44.881,670
45.222,265
45.905,340
46.294,640
47.027,600
47.854,650
48.462,655
49.073,645
49.610,655
50.311,610
50.877,625
51.510,605
51.706,655
51.803,255
51.806,10
52.546,350
53.269,600
53.900,635
54.634,625
55.032,645
55.078,215
55.288,10
55.897,410
56.681,605
57.117,595
57.656,625
58.238,620
58.920,620
59.517,620
60.139,590
60.752,640
61.458,680
62.235,730
62.879,705
63.405,640
63.993,630
64.770,630
65.426,650
66.037,640
66.631,635
67.256,595
67.890,650
68.510,650
69.090,665
69.889,655
70.425,635
71.161,620
71.741,650
72.279,650
72.961,655
73.597,615
74.132,615
74.763,605
75.506,600
75.933,630
76.713,635
77.298,640
78.031,600
78.421,635
79.220,615
79.833,665
80.082,645
80.573,245
81.006,385
81.638,600
82.233,620
83.003,620
83.539,630
84.161,605
84.817,605
85.338,590
85.842,590
86.377,595
87.146,615
87.731,630
88.316,620
89.052,645
89.635,645
90.235,655
90.854,655
91.659,625
92.027,625
92.850,615
93.451,665
94.117,615
94.658,650
95.292,600
95.920,640
96.509,630
97.198,670
97.871,650
98.504,635
99.191,675
99.865,695
100.362,665
101.190,610
101.771,650
102.405,640
102.989,650
103.623,615
104.256,640
104.864,610
105.628,635
106.206,650
106.499,680
106.750,245
107.429,300
107.620,665
107.624,260
108.018,10
108.693,325
109.293,600
109.814,610
110.352,610
111.082,560
111.617,640
112.300,630
113.031,710
113.717,735
114.299,645
114.981,640
115.517,580
116.175,570
116.736,620
117.272,600
117.906,610
118.540,590
119.128,635
119.759,625
120.446,685
121.322,665
121.758,660
121.831,610
122.050,250
123.078,295
123.470,715
124.266,555
124.313,585
124.734,295
125.267,260
125.707,540
126.291,560
126.583,565
126.587,225
126.877,10
127.461,265
127.802,570
128.396,525
128.973,550
129.513,550
130.143,560
130.682,535
131.287,570
131.361,540
131.365,245
131.653,10
132.309,295
132.531,560
132.872,250
133.428,285
133.957,570
134.578,570
135.116,535
135.700,560
136.155,560
136.676,585
137.312,590
137.991,585
138.527,580
139.014,600
139.161,575
139.999,760
140.139,40
140.282,15
141.501,315
141.796,1200
142.088,525
143.012,570
143.745,565
144.182,580
144.478,605
144.575,230
144.767,10
145.352,345
145.991,590
146.574,585
147.107,605
147.960,615
148.670,620
148.959,615
149.252,585
149.255,190
149.561,45
150.325,365
150.714,625
151.007,615
151.060,195
151.256,15
151.264,10
151.270,185
151.445,220
152.521,255
153.103,935
153.907,555
154.428,620
154.614,570
154.620,205
154.960,15
155.495,375
156.277,600
156.954,650
157.419,655
158.075,625
158.763,620
159.343,595
159.907,600
160.318,580
161.147,590
161.702,580
162.268,580
162.847,580
163.389,605
164.077,640
164.754,625
165.301,620
165.883,610
166.119,610
166.541,200
167.094,415
167.728,610
167.972,640
168.118,235
168.123,265
168.898,10
169.439,630
170.019,580
170.604,525
171.140,565
171.579,575
171.828,575
171.871,185
171.875,40
172.164,10
172.797,345
173.337,575
173.981,580
174.552,595
175.189,620
175.434,610
175.487,190
175.577,35
175.599,10
175.779,10
176.356,375
176.649,605
176.945,255
177.677,315
177.824,610
178.162,250
178.756,340
179.281,590
179.915,575
180.207,575
180.408,295
181.036,275
181.733,595
182.255,620
182.840,595
183.426,600
184.060,595
184.644,605
185.278,605
185.862,605
186.447,585
186.989,585
187.471,580
187.980,560
188.592,570
189.275,590
189.909,570
190.347,575
190.933,595
191.567,590
192.200,605
192.982,605
193.272,590
193.615,565
193.665,300
193.955,10
195.124,290
195.417,1260
195.421,190
195.908,30
196.393,400
196.933,605
197.710,605
198.292,630
198.405,620
198.979,235
199.422,400
199.837,620
200.198,275
200.792,350
201.271,600
202.003,605
202.494,645
203.175,610
203.807,615
204.295,610
204.988,625
205.759,650
206.296,630
206.762,625
207.568,610
208.149,620
208.832,615
209.328,625
210.075,620
210.639,630
211.271,620
211.857,630
212.100,665
212.154,180
212.643,30
213.274,455
213.857,660
214.490,605
215.076,655
215.671,620
216.296,620
216.686,640
217.027,210
217.617,395
217.807,630
217.811,245
218.149,10
218.836,330
219.285,625
220.100,625
220.740,665
221.320,645
222.124,690
222.738,685
223.417,680
224.002,675
224.686,615
225.222,645
225.811,605
226.442,625
227.222,630
227.616,590
228.198,600
