df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,respiration_rate
90.495,30
94.895,30
99.485,30
103.965,30
108.335,28
112.695,28
211.005,30
215.505,30
219.835,30
224.495,30
228.815,30
233.185,30
237.585,30
242.005,30
246.355,28
250.775,28
255.145,28
259.425,28
264.065,30
268.515,27
272.905,27
277.385,27
281.875,27
286.505,27
290.965,10
295.515,10
299.935,9
304.515,8
308.795,8
313.065,8
317.345,8
321.635,8
325.875,8
332.135,8
389.415,8
