df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,acc_mag
15.765,1.010
15.795,1.011
15.825,1.009
15.855,1.012
15.885,1.010
15.915,1.008
15.945,1.014
15.975,1.020
16.005,1.009
16.035,1.009
16.065,1.013
16.095,1.013
16.125,1.012
16.155,1.012
16.185,1.008
16.215,1.015
16.245,1.018
16.275,1.010
16.305,1.015
16.335,1.011
16.365,1.009
16.395,1.011
16.425,1.014
16.455,1.014
16.485,1.006
16.515,1.007
16.545,1.012
16.575,1.019
16.605,1.014
16.635,1.011
16.665,1.012
16.695,1.012
16.725,1.011
16.755,1.009
16.785,1.012
16.815,1.009
16.845,1.014
16.875,1.007
16.905,1.012
16.935,1.014
16.965,1.015
16.995,1.011
17.025,1.010
17.055,1.015
17.085,1.011
17.115,1.011
17.145,1.015
17.175,1.016
17.205,1.009
17.235,1.011
17.265,1.013
17.295,1.009
17.325,1.010
17.355,1.009
17.385,1.009
17.415,1.015
17.445,1.013
17.475,1.009
17.505,1.011
17.535,1.011
17.565,1.015
17.595,1.010
17.625,1.013
17.655,1.014
17.685,1.009
17.715,1.013
17.745,1.009
17.775,1.017
17.805,1.013
17.835,1.013
17.865,1.014
17.895,1.013
17.925,1.011
17.955,1.011
17.985,1.011
18.015,1.014
18.045,1.016
18.075,1.008
18.105,1.009
18.135,1.020
18.165,1.007
18.195,1.012
18.225,1.013
18.255,1.014
18.285,1.014
18.315,1.016
18.345,1.010
18.375,1.009
18.405,1.014
18.435,1.016
18.465,1.013
18.495,1.009
18.525,1.015
18.555,1.013
18.585,1.011
18.615,1.011
18.645,1.012
18.675,1.011
18.705,1.011
18.735,1.014
18.765,1.011
18.795,1.007
18.825,1.018
18.855,1.012
18.885,1.000
18.915,1.012
18.945,1.013
18.975,1.012
19.005,1.011
19.035,1.007
19.065,1.006
19.095,1.008
19.125,0.992
19.155,1.004
19.185,1.022
19.215,1.019
19.245,1.021
19.275,1.018
19.305,1.010
19.335,1.004
19.365,1.004
19.395,1.000
19.425,1.007
19.455,1.021
19.485,1.021
19.515,1.019
19.545,1.018
19.575,1.009
19.605,1.001
19.635,1.015
19.665,1.013
19.695,1.010
19.725,1.009
19.755,1.018
19.785,1.021
19.815,1.012
19.845,1.005
19.875,1.014
19.905,1.017
19.935,1.003
19.965,1.003
19.995,1.017
20.025,1.018
20.055,1.012
20.085,1.010
20.115,1.012
20.145,1.010
20.175,1.018
20.205,1.005
20.235,1.018
20.265,1.035
20.295,1.013
20.325,1.011
20.355,1.013
20.385,1.034
20.415,1.048
20.445,1.020
20.475,1.006
20.505,0.991
20.535,0.978
20.565,1.014
20.595,1.020
20.625,0.993
20.655,1.015
20.685,1.022
20.715,0.992
20.745,1.006
20.775,0.997
20.805,1.006
20.835,1.018
20.865,1.030
20.895,1.020
20.925,1.040
20.955,0.999
20.985,0.995
21.015,1.050
21.045,1.035
21.075,0.990
21.105,0.951
21.135,0.986
21.165,1.070
21.195,1.110
21.225,1.074
21.255,1.021
21.285,0.996
21.315,0.984
21.345,0.995
21.375,0.988
21.405,0.993
21.435,1.013
21.465,1.013
21.495,1.000
21.525,1.028
21.555,1.017
21.585,1.017
21.615,1.019
21.645,1.030
21.675,1.039
21.705,1.029
21.735,0.979
21.765,0.972
21.795,0.984
21.825,1.010
21.855,0.999
21.885,1.020
21.915,1.021
21.945,1.030
21.975,1.015
22.005,1.031
22.035,1.037
22.065,1.021
22.095,1.002
22.125,0.994
22.155,0.986
22.185,0.988
22.215,1.003
22.245,1.000
22.275,1.012
22.305,1.026
22.335,1.039
22.365,1.040
22.395,1.039
22.425,1.020
22.455,1.010
22.485,1.009
22.515,1.002
22.545,1.010
22.575,1.023
22.605,1.020
22.635,1.020
22.665,1.037
22.695,1.025
22.725,1.014
22.755,1.007
22.785,1.014
22.815,1.011
22.845,1.007
22.875,1.003
22.905,1.016
22.935,1.020
22.965,1.016
22.995,1.007
23.025,1.009
23.055,1.021
23.085,1.016
23.115,1.016
23.145,1.012
23.175,1.012
23.205,1.012
23.235,1.011
23.265,1.012
23.295,1.008
23.325,1.008
23.355,1.019
23.385,1.024
23.415,1.016
23.445,1.006
23.475,0.993
23.505,1.009
23.535,1.026
23.565,1.020
23.595,1.042
23.625,1.027
23.655,1.011
23.685,1.002
23.715,0.978
23.745,0.997
23.775,1.019
23.805,1.028
23.835,1.025
23.865,1.012
23.895,1.018
23.925,1.014
23.955,1.009
23.985,0.986
24.015,1.003
24.045,1.019
24.075,1.014
24.105,1.032
24.135,1.028
24.165,1.019
24.195,1.009
24.225,1.004
24.255,1.011
24.285,1.016
24.315,1.013
24.345,1.003
24.375,1.021
24.405,1.021
24.435,1.008
24.465,1.005
24.495,1.021
24.525,1.015
24.555,1.006
24.585,1.007
24.615,1.016
24.645,1.021
24.675,1.024
24.705,1.013
24.735,1.012
24.765,1.011
24.795,1.006
24.825,1.012
24.855,1.016
24.885,1.017
24.915,1.011
24.945,1.014
24.975,1.016
25.005,1.006
25.035,1.011
25.065,1.021
25.095,1.021
25.125,1.013
25.155,1.013
25.185,1.013
25.215,1.014
25.245,1.016
25.275,1.013
25.305,1.013
25.335,1.014
25.365,1.012
25.395,1.005
25.425,1.021
25.455,1.014
25.485,1.010
25.515,1.007
25.545,1.008
25.575,1.022
25.605,1.011
25.635,1.012
25.665,0.985
25.695,1.021
25.725,1.021
25.755,1.045
25.785,1.008
25.815,0.990
25.845,1.004
25.875,1.037
25.905,1.049
25.935,1.033
25.965,1.005
25.995,0.993
26.025,0.992
26.055,0.999
26.085,1.000
26.115,1.003
26.145,1.005
26.175,1.013
26.205,1.022
26.235,1.019
26.265,1.011
26.295,1.003
26.325,0.991
26.355,0.986
26.385,1.010
26.415,1.020
26.445,1.027
26.475,1.026
26.505,1.015
26.535,1.021
26.565,1.014
26.595,1.003
26.625,1.005
26.655,1.011
26.685,1.016
26.715,1.021
26.745,1.020
26.775,1.021
26.805,1.016
26.835,1.017
26.865,1.018
26.895,1.019
26.925,1.019
26.955,1.017
26.985,1.012
27.015,1.010
27.045,1.016
27.075,1.018
27.105,1.011
27.135,1.015
27.165,1.016
27.195,1.017
27.225,1.010
27.255,1.010
27.285,1.013
27.315,1.021
27.345,1.016
27.375,1.017
27.405,1.013
27.435,1.017
27.465,1.014
27.495,1.017
27.525,1.014
27.555,1.016
27.585,1.013
27.615,1.007
27.645,1.013
27.675,1.023
27.705,1.017
27.735,1.013
27.765,1.015
27.795,1.015
27.825,1.012
27.855,1.014
27.885,1.015
27.915,1.011
27.945,1.018
27.975,1.016
28.005,1.017
28.035,1.015
28.065,1.014
28.095,1.011
28.125,1.012
28.155,1.014
28.185,1.017
28.215,1.016
28.245,1.017
28.275,1.015
28.305,1.021
28.335,1.018
28.365,1.005
28.395,1.018
28.425,1.027
28.455,1.007
28.485,1.011
28.515,1.021
28.545,1.023
28.575,1.017
28.605,1.019
28.635,1.021
28.665,0.970
28.695,0.964
28.725,0.892
28.755,0.947
28.785,0.971
28.815,1.002
28.845,1.049
28.875,1.064
28.905,1.053
28.935,1.080
28.965,1.033
28.995,1.014
29.025,1.020
29.055,1.005
29.085,0.980
29.115,0.995
29.145,1.004
29.175,0.987
29.205,0.989
29.235,0.995
29.265,1.001
29.295,0.994
29.325,0.992
29.355,0.978
29.385,0.974
29.415,0.989
29.445,1.001
29.475,1.004
29.505,0.998
29.535,0.991
29.565,0.994
29.595,1.000
29.625,1.003
29.655,1.004
29.685,1.003
29.715,1.012
29.745,1.007
29.775,0.994
29.805,0.984
29.835,0.988
29.865,0.997
29.895,0.999
29.925,0.999
29.955,1.003
29.985,0.995
30.015,0.998
30.045,1.005
30.075,0.999
30.105,0.998
30.135,1.009
30.165,1.014
30.195,1.005
30.225,0.998
30.255,0.994
30.285,0.989
30.315,0.998
30.345,1.004
30.375,1.007
30.405,1.006
30.435,1.013
30.465,1.009
30.495,1.000
30.525,1.004
30.555,1.000
30.585,1.007
30.615,1.005
30.645,1.013
30.675,1.011
30.705,1.000
30.735,1.005
30.765,1.001
30.795,1.003
30.825,1.016
30.855,1.017
30.885,1.022
30.915,1.017
30.945,1.008
30.975,1.004
31.005,1.001
31.035,1.004
31.065,1.006
31.095,1.006
31.125,1.007
31.155,1.011
31.185,1.003
31.215,1.001
31.245,1.003
31.275,1.009
31.305,1.014
31.335,1.016
31.365,1.009
31.395,1.011
31.425,1.012
31.455,1.006
31.485,1.011
31.515,1.011
31.545,1.014
31.575,1.009
31.605,1.012
31.635,1.010
31.665,1.012
31.695,1.007
31.725,1.011
31.755,1.007
31.785,1.004
31.815,1.004
31.845,1.007
31.875,1.017
31.905,1.015
31.935,1.017
31.965,1.014
31.995,1.008
32.025,1.002
32.055,1.004
32.085,1.014
32.115,1.017
32.145,1.015
32.175,1.011
32.205,1.007
32.235,1.008
32.265,1.005
32.295,1.009
32.325,1.015
32.355,1.014
32.385,1.007
32.415,1.008
32.445,1.011
32.475,1.012
32.505,1.009
32.535,1.012
32.565,1.014
32.595,1.005
32.625,1.003
32.655,1.007
32.685,1.014
32.715,1.013
32.745,1.012
32.775,1.011
32.805,1.010
32.835,1.005
32.865,1.012
32.895,1.014
32.925,1.013
32.955,1.011
32.985,1.007
33.015,1.007
