df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,heart_rate
7.734,47
8.757,47
9.537,48
10.805,48
11.634,47
12.627,47
13.730,47
14.712,47
15.534,47
16.658,47
17.633,47
18.458,47
19.726,47
20.555,99
21.481,60
22.651,63
23.632,67
24.456,72
25.673,68
26.502,67
27.480,67
28.598,67
29.579,67
30.412,67
31.753,67
32.474,67
33.424,67
34.594,67
35.472,67
36.403,84
37.571,93
38.481,92
39.387,95
40.544,96
41.473,96
42.348,96
43.515,95
44.465,95
45.321,94
46.489,94
47.367,94
48.469,94
49.429,94
50.423,94
51.266,94
52.494,94
53.319,95
54.198,95
55.413,95
56.296,95
57.263,95
58.384,96
59.310,96
60.434,97
61.407,96
62.284,96
63.259,94
64.338,93
65.306,92
66.136,92
67.306,93
68.280,93
69.207,93
70.279,93
71.351,93
72.131,93
73.325,93
74.227,94
75.105,94
76.278,95
77.153,95
78.132,96
79.492,96
80.246,96
81.052,96
82.339,96
83.148,96
84.276,96
85.258,96
86.178,97
87.000,98
88.267,98
89.194,98
90.079,97
91.239,97
92.183,96
93.020,96
94.263,95
95.095,95
95.924,95
97.189,95
98.017,95
98.997,94
100.130,93
101.041,93
101.917,92
103.135,93
104.006,93
104.940,94
106.060,94
107.040,94
107.868,94
109.139,95
109.960,95
110.936,96
112.056,97
112.934,96
113.860,96
115.128,94
115.956,95
117.082,94
118.007,95
118.881,96
119.856,96
120.930,96
121.904,96
123.065,95
124.002,95
124.835,95
125.803,95
126.926,98
127.968,100
128.728,102
130.045,104
130.867,105
131.800,106
132.924,107
133.901,107
134.725,108
135.992,108
136.870,108
137.945,107
138.917,106
139.990,106
140.721,105
141.848,105
142.774,104
143.646,104
144.864,104
145.693,105
146.718,104
147.795,104
148.764,103
149.596,102
150.861,102
151.690,101
152.664,101
153.787,101
154.760,101
155.589,101
156.808,101
157.685,101
158.520,100
159.754,99
160.857,99
161.558,99
162.662,100
163.682,100
164.465,100
165.732,100
166.561,99
167.484,99
168.654,99
169.635,99
170.409,99
171.725,99
172.529,99
173.519,101
174.626,101
175.606,101
176.411,101
177.680,101
178.506,101
179.330,101
180.601,101
181.478,102
182.401,102
183.530,102
184.449,102
185.340,101
186.595,101
187.422,101
188.324,101
189.518,102
190.497,102
191.273,103
192.541,103
193.373,103
194.296,103
195.468,102
196.397,102
197.271,101
198.490,100
199.368,99
200.252,99
201.417,98
202.416,98
203.271,98
204.398,98
205.467,98
206.199,97
207.434,97
208.301,97
209.275,97
210.344,97
211.325,97
212.238,97
213.418,96
214.246,96
215.243,95
216.446,95
217.320,95
218.152,95
219.394,95
220.246,95
221.076,95
222.335,95
223.174,94
224.149,93
225.487,92
226.201,92
227.075,93
228.298,94
229.424,95
230.100,95
231.221,96
232.199,96
233.088,96
234.294,96
235.124,96
236.100,96
237.471,96
238.197,96
239.181,96
240.250,95
241.148,95
242.001,95
243.177,95
244.025,95
244.977,96
246.146,96
247.080,96
247.903,95
249.274,95
250.001,95
251.025,96
252.098,96
253.074,97
253.903,97
255.171,97
256.000,96
256.989,96
258.053,96
259.057,96
259.902,96
261.121,96
261.951,96
263.114,94
264.048,93
264.899,92
265.852,92
266.974,92
268.019,93
268.779,94
270.068,94
270.876,95
271.852,95
272.978,95
273.949,95
275.025,94
275.954,94
276.876,94
277.803,94
278.924,95
279.900,95
280.729,95
282.003,94
282.826,94
283.704,93
284.923,93
285.872,92
286.728,92
287.849,91
288.825,91
289.654,92
290.923,93
291.751,93
292.727,93
293.849,93
294.824,92
295.653,92
296.873,92
297.750,92
298.677,93
299.799,94
300.920,94
301.603,94
302.871,94
303.701,93
304.533,93
305.798,94
306.740,94
307.624,95
308.824,95
309.699,96
310.577,96
311.797,97
312.626,97
313.606,98
314.729,98
315.723,98
316.480,98
317.747,98
318.628,98
319.551,98
320.676,98
321.648,98
322.477,98
323.749,98
324.554,98
325.407,98
326.672,98
327.553,98
328.516,98
329.732,98
330.535,98
331.402,98
332.685,98
333.524,100
334.475,101
335.596,102
336.527,102
337.501,102
338.626,102
339.589,102
340.523,102
341.568,102
342.473,102
343.431,102
344.583,102
345.448,102
346.279,102
347.497,102
348.419,101
349.356,100
350.471,99
351.502,99
352.335,99
353.544,99
354.473,99
355.353,99
356.425,98
357.369,98
358.251,97
359.445,97
360.323,97
361.301,98
362.427,99
363.402,100
364.224,100
365.500,100
366.323,99
367.350,98
368.328,97
369.247,96
370.223,96
371.295,96
372.270,96
373.148,96
374.368,96
375.294,95
376.172,94
377.586,92
378.284,91
379.146,90
380.391,90
381.195,90
382.170,91
383.292,92
384.271,92
385.098,92
386.413,92
387.213,92
388.026,92
389.535,92
390.070,92
391.081,92
392.362,92
393.169,92
393.971,92
395.262,92
396.068,92
396.999,92
398.165,92
399.141,92
399.971,92
401.246,92
402.070,92
403.045,92
404.115,93
405.055,94
405.968,93
407.192,95
408.016,95
408.848,96
410.113,96
411.088,95
411.938,94
413.039,93
414.014,93
414.843,92
416.112,93
416.946,93
417.924,93
419.082,92
420.015,94
420.841,93
422.060,94
