df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,temperature
5.275,35.875
6.233,35.875
7.257,35.875
8.281,35.875
9.255,35.875
10.280,35.906
11.256,35.906
12.326,35.844
13.256,35.844
14.276,35.875
15.267,35.906
16.275,35.875
17.250,35.875
18.274,35.875
19.297,35.844
20.274,35.844
21.248,35.812
22.473,35.906
23.246,35.969
24.302,35.969
25.250,35.938
26.415,35.969
27.244,36.000
28.274,36.000
29.243,36.000
30.268,36.000
31.242,36.000
32.265,36.031
33.535,36.000
34.271,36.000
35.287,36.031
36.268,36.000
37.338,36.000
38.262,36.031
39.237,36.031
40.260,36.062
41.284,36.062
42.260,36.062
43.234,36.062
44.257,36.125
45.238,36.125
46.260,36.125
47.475,36.156
48.257,36.125
49.242,36.188
50.254,36.219
51.278,36.219
52.253,36.219
53.280,36.219
54.256,36.219
55.275,36.250
56.250,36.250
57.274,36.250
58.249,36.250
59.280,36.188
60.248,36.188
61.272,36.094
62.531,36.094
63.319,36.094
64.246,36.062
65.308,36.031
66.247,36.094
67.284,36.094
68.253,36.094
69.266,36.125
70.242,36.125
71.363,36.219
72.240,36.219
73.264,36.219
74.239,36.281
75.263,36.312
76.286,36.281
77.628,36.281
78.337,36.281
79.260,36.250
80.236,36.281
81.259,36.312
82.350,36.250
83.258,36.250
84.246,36.219
85.257,36.219
86.233,36.219
87.404,36.219
88.620,36.219
89.254,36.281
90.264,36.250
91.253,36.250
92.326,36.312
93.252,36.344
94.568,36.344
95.251,36.375
96.274,36.375
97.249,36.406
98.247,36.406
99.258,36.375
100.223,36.375
101.247,36.375
102.222,36.375
103.246,36.344
104.269,36.344
105.585,36.344
106.268,36.281
107.243,36.281
108.267,36.312
109.485,36.281
110.314,36.312
111.241,36.344
112.265,36.344
113.388,36.344
114.358,36.375
115.301,36.375
116.262,36.406
117.237,36.438
118.261,36.438
119.435,36.438
120.260,36.406
121.236,36.406
122.262,36.406
123.233,36.406
124.377,36.406
125.283,36.438
126.256,36.406
127.235,36.375
128.255,36.375
129.230,36.406
130.264,36.406
131.374,36.406
132.252,36.406
133.227,36.406
134.496,36.375
135.226,36.375
136.301,36.375
137.263,36.375
138.248,36.375
139.223,36.375
140.247,36.375
141.271,36.375
142.246,36.406
143.221,36.406
144.296,36.406
145.560,36.438
146.243,36.469
147.218,36.469
148.583,36.469
149.265,36.469
150.342,36.500
151.265,36.531
152.240,36.531
153.263,36.531
154.317,36.531
155.359,36.500
156.239,36.469
157.261,36.469
158.236,36.500
159.277,36.438
160.381,36.438
161.259,36.438
162.490,36.438
163.257,36.469
164.232,36.469
165.256,36.469
166.302,36.438
167.258,36.438
168.279,36.469
169.253,36.500
170.262,36.438
171.252,36.438
172.260,36.469
173.251,36.469
174.243,36.469
175.250,36.500
176.520,36.500
177.297,36.500
178.224,36.469
179.250,36.469
180.222,36.500
181.319,36.531
