df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,quality
17.497,59
18.423,64
19.252,62
20.447,58
21.397,61
22.469,59
23.445,57
24.416,59
25.245,62
26.512,64
27.351,70
28.268,71
29.392,66
30.568,68
31.152,66
32.365,62
33.243,64
34.264,69
35.340,67
36.262,37
37.143,33
38.313,17
39.190,23
40.117,23
41.381,19
42.164,25
43.090,41
44.453,40
45.233,37
46.113,38
47.241,63
48.161,63
49.236,68
50.208,70
51.231,71
52.048,67
53.276,70
54.108,68
54.985,66
56.202,65
57.085,68
58.203,69
59.273,67
60.055,68
60.933,69
62.247,70
63.128,64
64.101,66
65.269,67
66.003,65
66.978,68
68.246,68
68.979,71
70.003,72
71.075,71
72.002,68
72.881,66
74.048,66
74.925,69
75.851,65
77.261,65
77.898,64
78.827,66
80.044,66
80.921,67
82.090,63
82.968,68
83.895,65
84.773,65
85.942,66
87.163,67
87.746,69
88.964,68
89.890,20
90.722,19
91.941,18
92.816,27
93.696,0
95.153,36
95.789,19
96.765,19
97.896,16
98.909,19
99.692,22
100.891,0
101.737,0
102.663,0
103.928,0
104.711,9
105.639,9
106.807,0
107.685,1
108.754,0
109.976,24
110.707,26
111.585,29
112.946,42
113.977,50
114.802,47
115.777,52
116.752,64
117.581,63
118.751,60
119.924,66
120.555,65
121.735,66
122.604,68
123.532,67
124.793,66
125.578,65
126.503,65
127.672,51
128.696,42
129.478,43
130.646,44
131.523,44
132.493,44
133.620,45
134.546,38
135.450,44
136.786,40
137.522,58
138.443,61
139.568,66
140.496,60
141.374,62
142.642,61
143.520,60
144.347,65
145.622,62
146.441,63
147.319,63
148.590,62
149.708,64
150.399,59
151.555,60
152.486,58
153.559,59
154.509,58
155.515,58
156.535,63
157.758,66
158.434,67
159.267,67
160.725,69
161.310,64
162.485,68
163.409,67
164.333,65
165.211,63
166.380,56
167.307,58
168.199,64
169.403,61
170.329,59
171.158,61
172.328,60
173.546,66
174.131,70
175.350,67
176.276,66
177.202,67
178.565,65
179.201,58
180.079,61
181.345,61
