df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,rr_int
10.815,4220
11.351,1260
11.498,570
11.643,245
11.651,10
12.620,345
13.155,640
13.302,600
13.451,200
13.597,10
13.788,10
14.422,375
15.105,635
15.690,645
16.226,615
16.519,595
16.909,240
17.543,405
18.030,625
18.468,605
18.472,295
18.713,10
19.301,305
19.834,565
20.516,620
21.101,605
21.448,615
21.455,230
21.686,10
22.222,345
22.953,575
23.587,605
23.591,605
23.755,210
24.026,40
24.709,365
25.294,620
25.830,590
26.517,605
27.097,625
27.634,630
28.317,590
28.462,595
28.467,250
28.609,15
29.438,315
30.120,625
30.755,630
31.436,625
31.925,600
32.508,590
33.191,635
33.729,625
34.020,635
34.410,255
34.556,335
34.995,270
35.290,340
36.119,300
36.360,735
36.653,340
37.341,345
37.920,640
38.456,595
39.041,580
39.724,585
40.845,605
41.387,1220
42.649,545
43.186,1200
43.477,615
43.867,210
44.459,405
44.989,585
45.574,605
46.256,615
46.500,630
46.792,255
47.478,355
48.060,600
48.743,620
49.279,630
49.864,620
50.551,600
51.131,610
51.668,615
52.350,625
52.984,625
53.472,580
54.154,615
54.748,610
55.422,625
55.957,605
56.543,585
57.132,610
57.761,600
58.346,620
59.175,585
59.565,615
60.151,610
60.394,615
60.686,190
61.369,410
62.002,575
62.114,605
62.149,195
62.152,10
62.253,15
62.493,10
62.536,10
63.173,350
63.757,620
64.294,585
65.025,625
65.561,630
66.251,625
66.829,615
67.365,605
68.048,625
68.633,635
69.316,625
69.852,605
70.437,595
71.119,615
71.801,645
72.387,645
72.923,615
73.606,610
74.336,640
74.339,665
74.388,10
74.391,25
74.434,110
74.437,10
75.994,380
76.290,1230
76.336,205
76.339,30
76.342,10
76.530,10
77.266,335
77.798,670
78.480,600
78.626,610
78.637,165
78.775,50
79.065,15
79.753,355
80.284,645
80.431,605
80.480,180
80.483,15
80.869,15
81.406,375
82.185,590
82.673,600
83.209,605
83.355,605
83.501,240
84.477,335
85.013,590
85.598,600
86.183,600
86.817,605
87.416,600
87.938,615
88.624,595
88.913,595
89.741,260
90.034,975
90.185,290
90.230,10
91.692,1405
91.838,250
92.133,10
92.374,565
93.934,260
94.081,1275
94.571,210
94.910,400
94.921,190
94.958,250
95.591,10
96.128,640
96.770,550
97.252,565
97.932,600
98.589,650
99.199,655
100.030,660
101.149,845
101.344,1325
102.270,455
102.668,520
103.050,315
103.635,395
103.933,880
105.589,1085
105.878,565
106.219,330
107.389,275
107.976,1240
108.759,615
109.241,655
109.488,630
109.778,175
110.461,400
111.093,600
111.728,640
112.412,620
112.703,675
112.953,285
113.678,395
114.362,630
114.900,650
115.628,675
116.310,675
116.899,655
117.626,630
118.137,635
118.845,645
119.575,650
120.102,630
120.747,620
121.283,650
122.037,650
122.700,670
123.236,660
123.964,620
124.647,625
125.237,610
125.769,650
126.353,605
126.987,595
127.279,610
127.572,590
128.644,665
128.839,265
130.058,300
130.546,1265
131.179,500
132.016,680
132.301,615
132.837,530
133.519,570
134.105,630
134.787,635
135.080,620
135.323,265
135.957,350
136.590,580
136.799,590
137.175,265
137.187,15
137.712,305
138.449,600
138.979,630
139.662,630
140.198,645
140.880,630
141.612,635
142.343,690
142.832,685
143.611,695
144.244,635
144.780,665
145.564,655
146.195,655
146.828,625
147.413,610
147.998,640
148.681,650
148.832,625
148.942,250
149.269,10
149.840,355
150.338,625
150.485,360
151.118,260
151.752,635
152.044,605
152.048,290
152.288,10
152.922,280
153.564,630
154.320,635
154.823,655
155.244,645
155.271,320
155.363,10
155.508,255
156.042,10
156.725,650
157.320,625
157.992,645
158.627,605
159.113,605
159.796,635
160.384,615
160.730,630
160.948,250
161.600,325
162.184,640
162.867,600
163.552,630
164.137,590
164.235,650
164.281,255
164.379,15
165.353,355
165.938,670
166.623,640
167.316,615
167.986,680
168.571,705
169.256,665
169.887,640
170.569,605
171.206,645
171.837,645
172.471,650
173.035,610
173.689,620
174.323,660
174.957,665
175.542,620
176.224,610
176.785,605
177.346,625
177.589,625
177.593,260
178.077,15
178.570,315
178.857,625
178.910,310
179.150,15
179.832,270
180.124,670
180.519,255
181.100,350
