df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,ppg_quality
59.320,101
61.340,99
62.350,97
63.360,96
65.380,91
67.400,90
69.410,90
72.440,92
74.460,95
76.480,85
77.490,77
79.510,73
80.520,71
81.530,66
83.550,61
85.570,67
87.590,79
89.610,63
91.630,59
92.640,55
94.660,32
96.680,19
98.700,14
100.720,38
102.740,47
105.770,65
107.790,83
108.800,80
109.810,71
110.820,74
111.830,71
112.840,72
113.850,70
116.880,71
118.900,80
120.920,96
122.940,105
123.950,110
125.970,113
126.980,111
127.990,104
130.010,69
132.030,44
134.050,29
136.070,23
138.090,25
139.100,41
140.110,51
141.120,62
142.130,76
143.140,83
145.160,97
147.180,106
149.200,113
150.210,115
152.230,111
154.250,104
156.270,96
157.280,88
159.300,77
160.310,75
161.320,73
163.340,70
165.360,64
167.380,67
169.400,77
171.420,81
172.430,85
173.440,88
174.450,93
176.470,99
178.490,93
179.500,89
180.510,83
