df_hash,22ZHK4.UJ02M7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.WYNA
person_label,V35
date_time_start,2025-10-27_12-12-22.778000_+03
date_time_start_unix,1761552742.778
date_time_end,2025-10-27_12-15-29.729000_+03
length_difference_noticed,no

time,omega
58.400,0.588
62.109,0.573
63.909,0.588
65.213,0.573
66.881,0.581
68.102,0.573
69.364,0.562
71.859,0.573
80.479,0.581
82.202,0.589
83.409,0.596
86.874,0.581
87.606,0.569
92.428,0.569
99.254,0.569
100.048,0.569
108.809,0.563
112.804,0.563
114.555,0.563
116.411,0.563
117.829,0.563
118.172,0.563
120.228,0.561
120.803,0.561
121.436,0.557
122.223,0.561
123.292,0.563
127.234,0.561
131.332,0.561
136.646,0.561
136.896,0.561
138.500,0.563
139.041,0.570
141.179,0.570
141.709,0.583
143.764,0.569
145.612,0.583
147.030,0.583
148.151,0.583
148.938,0.588
151.904,0.597
155.269,0.616
157.467,0.616
158.097,0.633
158.727,0.633
159.262,0.633
159.949,0.638
160.437,0.638
166.093,0.642
172.038,0.638
173.158,0.630
173.843,0.624
178.909,0.619
