df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,quality
26.145,62
27.170,32
28.053,33
29.071,28
30.145,28
31.022,31
31.899,32
33.514,0
34.083,0
34.872,31
36.140,36
36.972,51
37.896,41
39.065,30
39.991,33
41.166,29
42.090,32
42.917,33
43.885,33
45.013,45
46.036,45
46.843,44
47.987,46
48.867,53
49.790,51
50.961,50
52.127,54
52.764,63
53.983,61
55.101,53
55.738,28
57.115,26
57.883,34
58.757,9
59.933,2
60.810,45
61.732,50
62.932,45
63.933,35
64.684,0
65.875,0
66.755,4
67.634,4
68.947,0
69.730,0
70.606,0
71.777,28
72.719,32
73.580,22
74.801,25
75.730,34
76.557,0
77.773,0
78.696,0
79.528,1
80.747,29
81.625,24
82.502,27
83.961,23
84.823,20
85.477,21
86.694,19
87.646,26
88.450,0
89.672,0
90.561,0
91.475,0
92.650,0
93.569,0
94.446,0
95.662,0
96.494,0
97.421,27
98.636,22
99.468,25
100.393,23
101.572,24
102.481,0
103.374,25
104.635,0
105.461,0
106.341,0
107.512,0
108.486,26
109.315,0
110.580,0
111.460,32
112.334,47
113.461,52
114.723,20
115.263,25
116.481,0
117.651,0
118.282,0
119.453,5
120.335,14
121.259,35
122.380,39
123.307,39
124.184,35
125.452,31
126.281,23
127.182,23
128.328,45
129.351,35
130.132,25
131.302,0
132.228,0
133.108,0
134.327,0
135.494,28
136.079,36
137.298,25
138.176,0
139.099,0
140.562,0
141.150,32
142.027,24
143.246,25
144.123,31
145.046,28
146.463,26
147.143,27
148.267,30
149.194,27
150.336,33
150.997,35
152.167,41
153.072,40
153.971,44
155.189,39
156.310,37
156.945,31
158.265,24
158.993,29
159.967,29
161.089,37
162.015,27
162.893,31
164.063,27
164.965,39
165.866,41
167.036,48
167.962,30
169.132,52
170.348,30
171.033,0
171.815,25
173.012,0
174.105,34
174.934,29
176.250,23
176.933,32
177.762,28
179.075,38
179.858,31
180.735,25
182.002,30
182.846,34
183.711,28
185.022,30
185.900,29
186.683,43
187.902,28
188.825,35
189.736,31
191.168,0
191.753,34
192.631,30
194.093,27
194.775,46
195.660,34
197.015,29
197.724,30
198.580,55
199.805,64
200.675,58
201.602,46
202.772,25
203.754,24
204.578,29
205.745,27
206.863,27
207.549,25
208.719,0
209.597,27
210.522,35
211.692,30
212.572,21
213.496,63
214.919,59
215.544,67
216.692,66
217.981,66
218.567,72
219.444,74
220.660,73
221.549,72
222.466,76
223.588,71
224.514,69
225.448,57
226.563,51
227.536,49
228.365,69
229.678,52
230.513,38
231.439,36
232.510,25
233.436,0
234.316,7
235.531,5
236.410,1
237.432,0
238.509,5
239.383,0
240.260,27
241.626,0
242.359,33
243.236,26
244.455,0
245.333,27
246.233,60
247.668,56
248.304,57
249.183,60
250.400,60
251.327,57
252.451,59
253.425,64
254.544,56
255.178,50
256.349,38
257.226,39
258.249,42
259.370,30
260.343,0
261.127,29
262.543,31
263.419,21
264.100,26
265.271,18
266.242,32
267.074,32
268.243,33
269.416,29
270.047,42
271.661,9
272.189,22
273.313,25
274.240,13
275.216,25
275.995,3
277.214,36
278.091,58
278.969,57
280.187,41
281.138,30
281.942,26
283.307,22
284.040,14
284.917,0
286.135,30
287.015,29
287.891,42
289.111,31
289.986,0
290.913,1
292.132,0
292.960,18
293.887,2
295.057,3
295.937,5
296.860,7
298.060,0
298.907,0
299.890,0
301.199,34
302.027,36
302.854,40
304.270,29
304.855,38
305.880,39
306.951,34
308.167,24
308.755,0
309.926,32
310.852,48
311.730,48
312.900,0
313.874,0
314.752,0
315.873,0
316.799,2
317.677,38
319.139,41
319.773,3
320.989,37
322.064,40
322.895,47
323.624,55
324.843,71
325.913,65
326.599,67
327.865,54
328.694,53
329.618,37
330.841,36
331.668,0
332.548,22
333.765,0
334.662,0
335.619,20
336.784,37
337.616,56
338.640,72
339.716,71
340.590,63
341.517,55
342.686,37
343.636,34
344.633,24
345.660,0
346.631,0
347.464,0
348.731,37
349.654,42
350.439,48
351.608,43
352.629,34
353.413,34
354.583,35
355.508,31
356.387,42
357.557,37
358.482,36
359.551,0
360.630,0
361.455,0
362.381,0
363.503,0
364.621,0
365.307,0
366.531,0
367.423,1
368.326,0
369.598,23
370.427,24
371.254,21
372.474,56
373.402,43
374.228,46
375.644,50
376.565,46
377.250,48
378.422,56
379.305,46
380.224,45
381.418,44
382.272,27
383.344,0
384.370,0
385.541,24
386.217,0
387.368,1
388.269,6
389.152,2
390.316,8
391.242,2
392.360,0
393.290,51
394.261,38
395.095,30
396.314,23
397.191,0
398.264,35
399.286,50
400.167,36
401.041,37
402.354,26
403.185,29
404.023,27
405.477,22
406.145,29
406.992,0
408.207,24
409.085,23
409.963,33
411.183,32
412.060,22
412.990,22
414.160,0
415.179,0
416.055,0
417.132,0
418.014,0
419.029,0
420.105,23
421.026,21
421.954,60
423.375,35
424.051,47
424.978,56
426.078,61
427.171,60
427.880,70
429.026,71
429.999,73
430.873,67
431.999,48
432.976,55
447.090,6
447.967,5
448.756,5
449.966,5
450.847,5
451.773,0
453.017,0
453.917,0
