df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
7.719,-0.107,0.959,0.051
7.728,-0.117,0.967,0.055
7.738,-0.113,0.973,0.059
7.748,-0.107,0.973,0.051
7.758,-0.109,0.977,0.051
7.768,-0.107,0.980,0.055
7.778,-0.102,0.977,0.055
7.788,-0.107,0.971,0.051
7.798,-0.107,0.967,0.053
7.808,-0.107,0.961,0.053
7.818,-0.107,0.965,0.051
7.828,-0.109,0.961,0.049
7.838,-0.113,0.955,0.047
7.848,-0.105,0.957,0.049
7.857,-0.104,0.943,0.047
7.867,-0.100,0.928,0.047
7.877,-0.102,0.934,0.043
7.887,-0.111,0.930,0.035
7.897,-0.113,0.939,0.035
7.907,-0.115,0.943,0.035
7.917,-0.113,0.951,0.033
7.927,-0.113,0.951,0.031
7.937,-0.107,0.949,0.031
7.947,-0.104,0.941,0.029
7.957,-0.107,0.939,0.027
7.967,-0.111,0.939,0.021
7.977,-0.119,0.943,0.027
7.986,-0.127,0.943,0.025
7.996,-0.133,0.939,0.021
8.006,-0.129,0.938,0.023
8.016,-0.133,0.936,0.023
8.026,-0.129,0.938,0.025
8.036,-0.129,0.943,0.018
8.046,-0.133,0.941,0.014
8.056,-0.129,0.941,0.016
8.066,-0.119,0.928,0.018
8.076,-0.119,0.938,0.010
8.086,-0.129,0.945,0.014
8.096,-0.129,0.951,0.021
8.106,-0.141,0.959,0.016
8.115,-0.145,0.961,0.021
8.125,-0.135,0.955,0.029
8.135,-0.133,0.949,0.021
8.145,-0.127,0.949,0.021
8.155,-0.115,0.949,0.016
8.165,-0.105,0.947,0.012
8.175,-0.094,0.949,0.010
8.185,-0.084,0.949,0.010
8.195,-0.070,0.957,0.012
8.205,-0.064,0.959,0.010
8.215,-0.066,0.959,0.014
8.225,-0.064,0.965,0.012
8.235,-0.070,0.959,0.010
8.245,-0.062,0.951,0.014
8.254,-0.057,0.953,0.014
8.264,-0.057,0.947,0.010
8.274,-0.061,0.951,0.014
8.284,-0.061,0.947,0.018
8.294,-0.061,0.949,0.012
8.304,-0.059,0.953,0.016
8.314,-0.066,0.949,0.018
8.324,-0.072,0.941,0.021
8.334,-0.072,0.936,0.021
8.344,-0.080,0.936,0.012
8.354,-0.086,0.938,0.012
8.364,-0.090,0.938,0.020
8.374,-0.082,0.939,0.012
8.383,-0.072,0.945,0.016
8.393,-0.070,0.947,0.018
8.403,-0.070,0.949,0.018
8.413,-0.072,0.955,0.018
8.423,-0.076,0.953,0.018
8.433,-0.072,0.953,0.018
8.443,-0.076,0.953,0.016
8.453,-0.078,0.947,0.020
8.463,-0.074,0.947,0.021
8.473,-0.078,0.957,0.020
8.483,-0.064,0.945,0.020
8.493,-0.059,0.947,0.023
8.503,-0.066,0.943,0.018
8.512,-0.070,0.939,0.018
8.522,-0.082,0.926,0.016
8.532,-0.088,0.922,0.021
8.542,-0.084,0.920,0.018
8.552,-0.088,0.924,0.014
8.562,-0.086,0.934,0.014
8.572,-0.084,0.936,0.018
8.582,-0.084,0.936,0.016
8.592,-0.100,0.941,0.010
