df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,ppg_quality
59.032,65
60.042,70
61.052,68
62.062,60
64.082,30
77.212,12
79.232,32
80.242,38
81.252,50
83.272,89
85.292,63
86.302,52
88.322,41
90.342,34
92.362,19
94.382,29
95.392,44
96.402,57
97.412,55
98.422,53
99.432,43
101.452,49
102.452,53
103.462,51
105.482,31
107.502,7
114.572,2
116.592,8
117.602,18
118.612,34
119.622,30
120.632,23
123.662,22
124.672,16
125.682,19
127.702,31
128.712,36
129.722,40
131.742,45
132.752,40
134.762,39
136.782,49
138.802,47
140.822,69
141.832,77
142.842,80
144.862,77
146.882,72
147.892,72
149.912,79
151.932,56
152.942,54
153.952,46
155.972,38
156.982,30
157.992,24
159.002,28
161.022,23
163.042,50
165.062,58
167.082,64
169.102,55
171.122,39
174.152,46
176.172,56
178.192,49
181.222,76
182.232,72
183.242,54
185.262,37
187.282,39
188.292,28
189.302,21
191.322,7
193.342,14
195.362,19
197.382,20
198.392,24
200.412,18
201.422,23
202.432,25
203.442,31
204.452,36
205.462,38
206.472,42
207.482,30
208.492,23
209.502,24
211.522,44
213.542,51
215.562,51
216.572,55
217.582,70
219.602,91
220.612,87
222.632,92
224.652,86
226.672,72
227.682,65
228.692,65
229.702,63
230.712,53
231.722,43
232.732,31
233.742,18
234.752,15
235.762,11
236.772,10
237.782,1
239.802,8
241.822,32
244.852,57
245.862,58
247.882,60
248.892,61
249.902,49
251.922,35
252.932,40
253.942,41
255.962,59
257.982,60
260.002,61
262.022,81
264.042,73
265.052,78
267.072,94
269.092,119
271.112,112
273.132,112
275.152,97
276.162,85
277.172,83
278.182,82
280.202,61
282.222,58
284.242,67
286.262,68
287.272,65
289.292,66
291.312,66
293.332,51
295.352,73
296.362,75
297.372,72
299.392,66
300.402,63
302.422,64
304.442,61
305.452,55
306.462,63
307.472,74
308.482,81
309.492,91
310.502,102
311.512,104
313.532,128
315.552,124
317.572,114
318.582,106
319.592,99
320.602,89
322.622,72
324.642,60
325.652,62
326.662,61
328.682,67
330.702,74
331.712,69
332.722,62
334.742,54
335.752,63
337.772,54
339.792,57
340.802,58
341.812,63
342.822,71
343.832,76
344.842,80
345.852,65
346.862,65
348.882,36
350.902,1
352.922,8
356.962,4
357.972,15
359.992,48
362.012,44
363.022,27
364.032,10
366.052,18
367.062,20
368.072,13
369.082,8
371.102,11
373.122,28
375.142,44
377.162,53
378.172,60
380.192,71
381.202,75
382.212,82
384.232,72
386.252,67
388.272,62
390.292,40
391.302,25
392.312,10
393.322,18
394.332,27
395.342,24
397.362,31
399.382,42
401.402,53
403.422,50
405.442,44
407.462,6
410.492,3
411.502,9
413.522,17
414.532,22
417.562,9
418.572,19
419.582,27
420.592,24
421.602,13
423.622,17
425.642,45
427.662,76
428.672,76
430.692,74
432.712,87
434.732,88
