df_hash,22ZHK4.Z7HMM1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7235
person_label,v141
date_time_start,2026-04-14_16-53-01.848000_+03
date_time_start_unix,1776167581.848
date_time_end,2026-04-14_17-01-17.693000_+03
length_difference_noticed,no

time,rr_int
12.251,4615
12.838,1365
12.885,815
12.986,10
13.196,240
13.224,175
13.520,205
15.222,880
16.295,825
16.734,1160
18.196,370
18.391,1405
19.464,350
20.049,1030
21.999,660
22.974,1855
23.949,1070
24.777,950
25.759,875
26.289,895
27.118,645
27.264,835
27.268,95
27.313,10
27.316,20
27.326,10
27.949,20
29.215,485
29.896,1445
30.336,605
31.310,535
32.139,910
32.867,840
33.529,680
34.235,775
34.479,730
34.482,215
34.628,10
34.918,10
35.746,470
36.432,760
37.502,660
38.087,980
38.380,750
39.259,310
39.452,650
40.037,295
41.161,690
41.329,730
41.645,370
42.426,415
43.108,820
43.937,780
44.620,775
45.354,730
45.643,750
45.647,180
45.651,10
46.179,10
46.862,595
47.545,665
47.837,815
47.841,220
47.844,25
48.374,10
49.105,480
49.348,795
49.982,230
50.616,545
51.444,760
52.133,785
52.956,700
53.252,805
53.259,380
53.395,15
54.077,325
54.516,500
55.983,380
57.108,1290
57.151,1040
57.587,225
58.221,470
58.806,760
59.099,595
60.046,270
60.171,965
60.175,10
60.317,30
61.439,255
61.738,1035
61.741,260
61.880,100
61.977,15
61.983,15
61.989,25
62.807,10
63.486,970
64.608,630
64.754,1390
66.167,335
66.508,1075
66.850,305
67.532,315
68.215,715
68.961,710
69.631,665
69.775,760
69.778,165
69.782,10
71.140,570
71.433,785
71.823,270
72.554,370
73.090,710
74.358,600
74.650,1280
75.479,270
75.485,790
76.649,125
76.990,1105
77.965,375
79.135,915
79.772,1230
80.597,705
80.942,725
81.280,345
82.402,355
82.694,1110
82.940,300
83.427,290
84.181,480
85.181,655
85.863,1190
86.838,690
87.130,900
88.301,380
88.666,1045
89.763,495
90.202,1115
90.348,435
90.446,215
92.396,1015
92.840,905
94.345,415
94.641,1560
95.518,365
95.905,700
96.746,560
97.270,735
97.709,630
98.053,330
98.392,170
99.513,620
99.611,1155
99.903,10
100.489,345
101.382,585
101.999,885
102.686,610
103.218,660
103.951,575
104.485,765
104.779,530
106.048,250
106.144,970
106.289,635
107.557,560
107.852,715
107.856,240
108.239,15
108.242,435
108.386,10
108.434,125
108.438,10
109.766,1095
110.189,300
110.336,350
110.728,230
111.464,395
111.949,695
112.140,215
112.871,455
113.797,710
115.406,1025
115.642,1520
115.650,310
116.430,10
117.161,825
117.701,640
118.038,575
118.331,330
119.351,295
119.501,975
120.183,275
120.866,690
121.305,640
122.208,440
122.816,900
123.499,595
124.230,695
124.624,690
124.767,285
125.205,345
125.458,345
126.180,275
126.425,755
126.431,260
127.009,335
127.399,280
128.081,400
128.520,700
128.813,395
129.230,290
129.641,475
130.470,315
130.762,965
130.863,295
131.009,10
131.738,260
132.428,665
132.956,610
133.645,610
134.077,635
134.761,455
136.028,780
136.419,1235
136.564,600
138.665,600
138.953,1370
139.635,300
140.569,720
141.441,665
141.490,1195
141.732,10
142.121,315
143.389,425
144.072,1225
145.052,730
145.343,865
145.729,315
147.155,385
147.826,1465
149.093,700
149.775,1305
150.093,610
150.377,265
151.043,375
151.582,700
152.018,290
152.555,705
153.530,465
153.676,995
154.213,190
155.333,470
156.015,1125
156.700,705
157.039,800
157.429,300
158.271,405
158.941,720
159.974,740
160.758,975
161.963,805
162.158,1060
162.450,450
162.694,280
163.085,275
163.962,320
165.327,880
165.815,1475
166.302,355
167.131,510
167.570,935
168.691,420
169.227,1115
170.354,515
170.742,1185
171.326,385
172.835,605
173.907,1510
174.249,875
174.346,495
174.939,205
175.806,475
177.563,810
179.082,1920
179.514,1525
180.878,370
181.025,1370
181.028,165
181.032,25
181.466,10
182.154,425
183.073,735
183.803,770
183.950,850
184.096,210
184.100,30
184.880,10
184.883,555
185.315,230
185.905,480
186.290,660
186.583,300
187.363,310
187.996,690
188.831,785
189.703,725
189.946,850
189.953,330
190.049,30
190.777,10
191.457,745
191.703,740
192.680,265
192.977,950
193.560,375
194.237,530
194.919,725
195.601,670
196.333,680
196.430,735
196.435,160
196.530,25
197.020,10
197.846,475
197.990,790
197.993,10
198.090,255
198.093,10
198.136,100
199.209,335
200.090,805
201.064,845
201.463,925
202.134,410
202.719,675
203.410,580
203.780,735
204.119,300
204.768,370
205.357,655
206.473,685
206.878,1050
206.914,480
207.991,10
208.667,930
209.252,735
209.934,680
210.620,680
211.300,670
212.033,695
212.859,740
213.541,790
214.225,785
214.934,700
215.638,685
216.321,695
217.003,695
217.988,710
218.515,690
219.295,795
220.075,745
220.757,765
221.440,730
222.268,765
223.000,810
223.685,680
224.365,665
224.901,695
225.632,610
226.169,630
226.463,685
226.470,285
226.656,10
227.680,440
228.411,675
229.047,710
229.094,295
229.386,420
229.776,285
230.653,455
230.856,665
231.631,320
232.847,720
234.212,1320
234.698,1390
235.918,540
236.649,1210
237.283,660
238.113,735
239.527,855
240.503,1425
240.748,1155
241.458,425
242.451,230
243.134,1160
243.816,665
244.499,670
245.085,650
245.772,660
246.059,710
246.449,240
247.326,435
247.329,740
247.333,10
247.863,10
248.545,650
249.276,695
249.911,665
