df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,rr_int
7.371,4280
9.025,320
9.756,1755
10.438,665
11.267,705
11.901,800
12.925,625
13.656,1155
14.192,615
14.777,585
15.459,590
15.465,665
16.142,10
16.825,675
17.556,700
18.098,680
18.143,640
18.775,10
19.360,605
20.042,655
20.627,660
21.232,555
21.846,635
21.992,600
21.996,180
22.000,10
22.967,10
22.971,1000
23.067,10
23.113,140
23.260,130
23.406,75
23.410,10
23.603,10
23.608,20
23.650,220
24.771,600
25.211,615
25.356,560
26.038,285
26.042,375
26.575,10
27.306,560
27.453,625
27.700,195
29.110,335
29.402,1320
29.769,325
29.941,300
30.377,185
31.059,475
31.352,675
31.596,300
32.327,320
33.010,660
33.696,670
33.992,655
34.277,265
34.964,415
35.110,650
35.256,180
35.496,50
35.506,15
35.515,10
36.764,355
37.299,1240
38.031,590
38.177,655
38.181,140
38.226,15
38.229,15
38.277,10
38.282,10
38.568,10
39.250,385
39.835,615
40.517,660
41.103,645
41.346,620
41.350,195
41.394,10
41.398,25
41.401,10
41.592,10
41.785,10
42.321,360
42.326,635
43.012,10
44.563,700
44.954,1535
45.539,325
46.221,660
46.514,620
46.518,250
46.806,15
47.343,305
48.063,620
48.171,590
48.610,235
49.146,345
49.731,595
50.434,610
51.096,630
51.633,670
51.925,655
52.364,290
52.510,335
52.516,235
53.583,420
54.313,650
54.850,645
55.435,595
56.166,605
56.654,605
57.238,635
57.921,615
58.457,625
58.460,605
58.750,10
58.753,185
58.799,10
58.810,10
58.813,10
58.899,10
59.188,10
59.192,370
59.739,10
60.416,655
60.574,645
60.993,180
61.675,450
62.260,620
62.943,610
63.625,640
63.771,655
63.826,180
63.969,15
63.972,10
64.210,15
65.027,420
65.428,635
66.160,660
66.696,630
67.233,585
68.500,610
69.037,1185
69.767,525
69.771,720
69.915,10
69.925,15
69.928,30
69.965,115
69.968,10
70.344,55
71.035,315
71.038,680
71.087,10
71.090,15
71.133,145
72.839,1045
74.205,625
74.350,1380
74.353,225
74.792,345
75.325,10
75.481,670
76.008,10
76.592,615
76.596,620
77.324,10
78.250,680
78.640,995
78.786,370
78.933,260
80.639,1105
80.737,600
80.931,240
80.937,15
81.030,15
81.086,105
81.175,240
82.540,565
82.978,825
83.954,305
84.344,1105
85.611,320
85.906,1290
87.123,250
87.415,1230
87.562,520
88.975,630
89.706,695
90.486,770
91.120,810
91.760,600
92.164,710
92.973,315
93.557,870
93.561,590
94.094,10
94.679,605
95.366,565
95.898,590
96.544,570
97.019,595
97.783,610
98.433,675
99.115,680
99.262,645
99.700,210
99.715,445
100.432,10
100.923,635
101.260,615
101.264,10
101.267,285
101.699,10
102.187,330
102.871,645
103.459,620
104.147,625
104.916,700
105.648,715
106.331,715
106.919,695
107.891,685
108.281,880
108.284,425
109.548,635
110.084,610
110.816,625
111.498,655
111.649,755
112.180,10
112.183,675
112.912,10
113.594,740
113.643,670
114.276,10
114.959,685
115.690,705
116.373,680
116.909,665
117.402,620
117.434,360
117.465,10
117.494,210
118.469,670
119.005,280
119.008,555
119.182,10
119.444,340
120.273,550
120.566,280
121.833,335
122.466,1250
122.516,670
123.304,10
123.754,580
124.319,650
124.856,615
125.538,635
126.123,625
126.806,625
127.341,590
128.087,640
128.807,660
129.463,650
130.023,705
130.172,655
131.000,160
131.241,440
131.393,690
131.975,10
132.558,560
132.658,655
132.704,135
132.708,10
132.711,10
132.715,15
132.806,10
133.099,10
133.777,375
134.328,620
134.996,645
135.678,605
136.413,620
136.799,610
138.067,600
138.071,1345
138.651,10
139.334,540
139.339,615
139.871,10
140.455,610
141.138,605
141.674,625
142.406,655
142.942,605
143.478,580
144.214,600
144.745,600
145.330,620
146.014,630
146.549,630
146.844,635
146.890,160
146.907,15
147.237,15
147.817,380
148.361,660
149.086,580
149.621,615
149.913,615
150.162,220
150.888,370
151.425,575
152.011,595
152.549,570
153.228,620
153.813,630
154.496,635
155.178,690
155.861,670
156.494,655
156.640,610
156.644,125
156.690,10
156.700,15
156.703,15
156.741,10
157.178,15
157.274,655
158.252,300
158.835,680
159.419,585
159.911,575
160.492,540
161.320,555
161.324,775
161.613,10
162.296,290
162.832,675
163.124,540
163.127,295
163.417,10
163.953,280
164.636,665
165.915,610
166.049,1220
166.055,175
166.098,30
166.104,15
166.111,10
166.195,15
166.488,330
167.317,630
167.320,270
167.710,10
168.301,360
168.979,650
169.267,665
170.101,325
171.460,800
171.468,1330
171.607,10
171.619,15
171.639,135
171.705,10
173.021,300
173.264,1165
173.268,170
173.462,30
173.904,10
173.907,390
174.293,10
174.825,615
175.507,595
176.921,710
176.924,1370
177.607,10
178.286,625
178.871,660
179.553,690
180.236,665
180.821,660
181.503,650
182.189,625
182.920,590
183.454,645
184.431,675
184.724,700
184.935,685
185.404,10
186.086,650
186.089,665
186.769,10
187.500,665
188.182,700
188.865,700
189.011,685
189.449,175
190.132,465
190.136,650
190.281,10
190.286,160
190.289,20
190.424,20
190.428,20
190.717,25
191.402,375
191.449,655
192.088,10
192.133,660
192.136,10
