df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,battery
7.611,85
17.605,85
27.624,85
37.690,85
47.830,85
57.628,85
67.623,85
77.693,85
87.611,85
97.701,85
107.598,85
117.592,85
127.586,85
137.579,85
147.573,85
157.619,84
167.612,84
177.603,84
187.597,84
197.600,84
207.586,84
217.579,84
227.573,84
237.566,84
247.560,84
257.602,84
267.597,84
277.590,84
287.633,84
297.578,84
307.572,84
317.566,84
327.559,84
337.553,84
347.596,84
357.590,84
367.584,84
377.578,84
387.571,84
397.695,84
407.559,84
417.609,84
427.546,84
437.540,84
447.583,84
457.577,84
467.571,84
477.710,84
487.656,84
