df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,heart_rate
19.798,91
20.968,92
21.894,95
22.772,96
24.039,96
24.868,96
25.795,97
26.965,96
27.880,98
28.768,96
30.088,96
30.865,96
31.743,96
32.912,96
33.842,96
34.728,96
35.935,94
36.861,94
37.693,94
38.908,94
39.786,95
40.663,95
41.882,95
43.004,95
43.686,94
44.879,94
45.738,94
46.683,94
48.054,94
48.756,94
49.634,94
50.852,96
51.735,97
52.630,96
53.826,96
54.708,95
55.678,95
56.800,95
57.677,95
58.603,96
59.811,96
60.653,96
61.626,96
62.747,96
63.679,96
64.552,96
65.724,96
66.647,95
67.525,95
68.743,95
69.719,95
70.519,95
71.790,95
72.595,95
73.521,95
74.691,95
75.616,95
76.495,95
77.696,94
78.591,94
79.469,93
80.644,93
81.565,92
82.491,92
83.612,92
84.613,92
85.416,92
86.635,92
87.513,92
88.416,92
89.655,92
90.490,92
91.412,85
92.582,87
93.460,85
94.386,86
95.577,85
96.435,90
97.360,92
98.531,94
99.528,95
100.334,95
101.600,94
102.431,94
103.331,94
104.526,94
105.404,94
106.281,93
107.500,92
108.378,90
109.304,89
110.523,90
111.387,89
112.280,89
113.448,89
114.328,88
115.251,88
116.421,87
117.348,87
118.225,88
119.395,88
120.325,87
121.199,87
122.418,87
123.321,87
124.173,87
125.391,90
126.516,91
127.146,92
128.408,93
129.439,94
130.464,94
131.341,94
132.267,93
133.143,93
134.367,94
135.239,94
136.116,95
137.286,95
138.216,94
139.090,95
140.260,95
141.188,96
142.064,95
143.326,96
144.162,96
145.038,97
146.257,97
147.137,97
148.012,97
149.477,97
150.116,97
151.072,97
152.204,98
153.130,99
154.008,99
155.183,99
156.104,98
157.030,97
158.200,97
159.078,97
159.955,97
161.223,97
162.052,97
162.929,97
164.149,100
165.025,100
165.952,101
167.122,101
168.292,100
168.927,99
170.244,98
171.022,98
171.899,98
173.118,98
173.998,98
174.873,98
176.164,98
176.969,98
177.847,96
179.068,95
179.946,93
180.869,92
182.039,92
183.214,92
183.892,93
185.013,93
185.939,93
186.817,92
187.987,91
188.913,90
189.790,90
191.011,89
191.891,89
193.060,89
193.983,90
194.907,90
195.813,90
196.957,90
197.858,90
198.764,90
199.934,91
200.858,92
201.734,93
202.904,92
203.831,92
204.757,92
205.980,92
206.853,92
207.708,93
208.901,94
209.778,96
210.656,97
211.874,97
212.752,96
213.752,96
214.856,95
215.752,95
216.652,95
217.847,96
218.723,96
219.626,95
220.831,95
221.722,94
222.600,94
223.770,94
224.696,94
225.573,94
226.744,94
227.670,94
228.548,97
229.766,98
230.668,99
231.521,100
232.740,100
233.617,100
234.543,100
236.057,101
236.591,102
237.517,101
238.693,101
239.587,101
240.540,101
241.661,95
242.587,93
243.465,89
244.635,88
245.561,89
246.438,88
247.657,92
248.583,89
249.412,90
250.631,89
251.508,87
252.484,85
253.605,85
254.522,85
255.414,86
256.579,87
257.505,86
258.382,87
259.699,87
260.479,86
261.356,86
262.529,87
263.452,86
264.482,84
265.500,85
266.476,80
267.307,77
268.522,74
269.449,76
270.307,79
271.497,78
272.411,79
273.251,78
274.471,78
275.347,78
276.274,78
277.444,78
278.321,81
279.247,81
280.467,80
281.344,80
282.221,80
283.391,80
284.318,84
285.195,86
286.418,88
287.294,88
288.169,87
289.390,86
290.266,85
291.290,85
292.364,85
293.239,85
294.116,88
295.337,88
296.213,87
297.177,87
298.309,85
299.189,84
300.113,83
301.283,83
302.160,83
303.086,85
304.262,87
305.185,89
306.060,90
307.230,88
308.157,88
309.034,86
310.278,86
311.130,85
312.097,85
313.226,85
314.106,86
315.030,87
316.200,88
317.078,88
318.011,88
319.174,87
320.126,86
320.978,86
322.171,86
323.074,87
323.952,88
325.122,88
326.048,88
326.925,87
328.193,86
329.021,87
329.899,87
331.118,86
331.995,86
332.906,86
334.091,83
335.067,81
335.901,80
337.214,79
337.944,79
338.869,79
340.039,79
340.965,79
341.846,79
343.083,81
343.939,82
344.817,84
346.035,86
346.916,86
347.815,86
349.009,85
349.887,84
350.841,84
351.983,84
352.860,85
353.787,84
354.957,88
355.905,89
356.760,87
357.967,87
358.859,85
359.832,84
360.904,84
361.830,83
362.711,83
363.927,83
364.853,82
365.686,83
366.903,83
367.782,83
368.753,83
369.875,84
370.752,83
371.681,83
372.898,83
373.726,83
374.657,85
375.825,86
376.700,87
377.626,87
378.857,87
379.869,87
380.600,87
381.769,87
382.743,87
383.573,87
384.792,87
385.669,85
386.616,85
387.768,85
388.643,85
389.521,85
390.739,85
391.617,82
392.545,80
393.762,81
394.591,81
395.562,81
396.691,87
397.754,90
398.491,91
399.815,93
400.592,93
401.615,94
402.634,95
403.561,95
404.438,94
405.702,94
406.535,94
407.412,94
408.640,97
409.508,98
410.409,96
411.605,96
412.482,96
413.360,96
414.578,96
415.459,96
416.382,96
417.554,96
418.430,100
419.362,100
420.526,101
421.452,100
422.333,99
423.500,99
424.452,99
425.303,99
426.525,99
427.473,99
428.277,99
429.517,102
430.373,102
431.254,102
432.470,101
433.445,99
434.225,95
