df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,temperature
382.653,35.906
383.671,35.875
384.646,35.906
385.767,35.875
386.706,35.906
387.668,35.938
388.692,35.906
389.667,35.875
390.691,35.844
391.666,35.812
392.690,35.844
393.664,35.844
394.689,35.875
395.668,35.875
396.687,35.875
397.774,35.906
398.686,35.906
399.667,35.938
400.690,35.938
401.660,35.969
402.684,35.969
403.659,35.969
404.683,35.906
405.712,35.906
406.730,35.906
407.656,35.906
408.686,35.875
409.804,35.844
410.678,35.844
411.656,35.812
412.694,35.812
413.653,35.781
414.676,35.812
415.656,35.844
416.979,35.812
417.650,35.781
418.674,35.781
419.697,35.781
420.673,35.750
421.648,35.750
423.015,35.719
423.646,35.719
424.676,35.688
425.645,35.594
426.669,35.594
427.649,35.594
428.696,35.625
429.643,35.625
431.010,35.625
431.787,35.625
432.665,35.625
433.935,35.594
434.664,35.625
435.687,35.656
436.906,35.656
437.687,35.625
438.662,35.625
439.687,35.625
440.660,35.625
441.684,35.625
442.662,35.594
443.684,35.625
444.660,35.594
445.681,35.562
446.659,35.531
447.680,35.656
448.657,35.625
449.679,35.625
450.855,35.625
451.677,35.625
452.656,35.656
453.677,35.625
454.652,35.656
455.724,35.656
456.699,35.656
457.680,35.562
458.895,35.531
459.722,35.531
460.672,35.531
461.672,35.500
462.990,35.438
463.768,35.438
464.645,35.406
465.669,35.406
466.644,35.406
467.688,35.375
468.692,35.375
469.667,35.375
470.677,35.375
471.666,35.375
472.640,35.406
473.664,35.406
475.077,35.406
475.665,35.375
476.638,35.406
477.717,35.438
478.637,35.438
479.860,35.438
480.684,35.438
481.659,35.469
482.634,35.469
483.707,35.500
484.682,35.469
485.657,35.469
486.682,35.438
487.659,35.438
488.779,35.406
489.654,35.375
490.678,35.375
491.653,35.344
492.677,35.312
