df_hash,22ZHK4.4XY8EU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.43TV
person_label,V96
date_time_start,2025-11-04_18-24-47.110000_+03
date_time_start_unix,1762266287.11
date_time_end,2025-11-04_18-33-05.679000_+03
length_difference_noticed,no

time,quality
19.802,65
20.972,69
21.898,71
22.775,64
24.043,60
24.872,61
25.799,54
26.968,44
28.233,52
28.771,39
30.096,34
30.868,36
31.749,40
32.916,41
33.987,43
34.960,45
35.939,65
36.864,59
37.986,58
38.911,64
39.789,69
40.668,69
41.886,68
43.007,66
43.691,28
44.883,25
45.980,22
46.686,22
48.057,20
48.760,19
49.638,34
50.856,56
51.781,60
52.656,53
53.829,59
54.752,66
55.682,65
56.803,63
57.680,65
58.607,70
59.826,75
60.700,72
61.629,73
62.752,72
63.723,75
64.555,74
66.016,73
66.650,56
67.528,56
68.747,26
69.722,0
70.697,35
71.794,34
72.598,0
73.525,0
74.694,32
75.715,30
76.498,0
77.714,36
78.596,43
79.518,45
80.688,46
81.568,43
82.495,38
83.616,27
84.617,18
85.422,31
86.643,0
87.520,0
88.685,0
89.659,25
90.635,0
91.416,27
92.586,34
93.463,32
94.390,28
95.703,27
96.532,39
97.363,43
98.542,44
99.532,50
100.337,53
101.603,69
102.434,70
103.454,62
104.530,70
105.407,65
106.285,53
107.506,59
108.381,68
109.307,53
110.525,34
111.395,43
112.475,42
113.451,34
114.577,59
115.254,73
116.424,80
117.351,79
118.232,44
119.398,39
120.519,24
121.203,25
122.420,0
123.347,0
124.176,0
125.394,50
126.518,49
127.149,68
128.514,79
129.447,78
130.467,68
131.388,67
132.366,72
133.147,67
134.608,63
135.242,69
136.131,69
137.290,54
138.220,44
139.094,50
140.264,52
141.482,49
142.068,46
143.386,78
144.209,73
145.042,76
146.262,77
147.232,71
148.015,74
149.480,78
150.156,75
151.076,76
152.207,76
153.134,65
154.012,69
155.327,65
156.109,59
157.033,56
158.204,48
159.127,26
159.959,25
161.227,28
162.101,0
162.932,0
164.155,39
165.030,35
165.963,33
167.126,34
168.296,56
168.975,62
170.248,56
171.025,29
171.903,31
173.122,27
174.045,34
174.877,0
176.170,28
176.972,0
177.850,30
179.072,41
179.995,48
180.873,52
182.043,69
183.219,70
183.897,72
185.016,67
185.943,63
186.820,71
187.990,78
188.917,80
189.794,81
191.256,83
192.082,73
193.064,74
193.987,80
195.156,77
196.031,73
196.960,73
198.079,67
198.958,66
200.031,58
200.906,61
201.738,55
202.908,39
203.834,42
204.761,34
206.020,28
206.857,33
207.725,36
208.904,41
209.783,58
210.663,75
211.880,68
212.757,68
213.779,74
214.946,68
215.755,60
216.657,51
218.264,53
218.949,54
219.631,44
220.894,60
221.738,63
222.603,50
223.773,40
224.699,30
225.579,21
226.793,22
227.673,24
228.553,37
229.771,45
230.672,56
231.525,55
232.745,53
233.621,52
234.547,39
236.061,45
236.594,55
237.522,34
238.983,26
239.662,22
240.543,32
241.664,62
242.591,59
243.468,53
244.638,52
245.566,28
246.442,23
247.661,33
248.588,0
249.415,26
250.635,28
251.515,44
252.487,60
253.608,46
254.534,36
255.655,53
256.584,52
257.508,36
258.387,45
259.702,44
260.482,40
261.360,41
262.624,51
263.456,30
264.485,62
265.506,37
266.484,43
267.355,35
268.534,43
269.454,34
270.424,35
271.500,44
272.668,60
273.256,40
274.668,36
275.352,36
276.278,34
277.447,30
278.325,34
279.250,47
280.470,22
281.347,20
282.224,0
283.395,25
284.321,33
285.244,30
286.574,48
287.587,40
288.172,38
289.488,46
290.275,57
291.299,48
292.413,41
293.242,42
294.119,57
295.581,45
296.217,35
297.182,40
298.316,51
299.384,57
300.117,49
301.287,53
302.164,54
303.089,44
304.269,47
305.329,55
306.063,58
307.233,41
308.169,45
309.037,54
310.295,63
311.134,85
312.100,63
313.230,53
314.153,52
315.033,54
316.205,50
317.087,48
318.102,47
319.177,49
320.347,53
320.981,46
322.586,39
323.078,41
323.957,69
325.127,62
326.069,74
326.928,74
328.196,75
329.025,68
329.914,58
331.167,37
331.999,34
333.168,34
334.095,65
335.070,72
335.945,66
337.217,41
337.948,25
338.872,0
340.059,32
340.970,25
341.943,30
343.308,33
343.943,38
344.820,45
346.039,63
347.064,48
347.821,59
349.014,71
349.890,79
350.862,80
351.987,82
352.864,56
353.790,44
354.960,57
356.179,49
356.764,20
358.323,31
358.906,55
359.835,48
360.908,39
361.837,41
362.757,36
363.930,37
364.857,42
365.877,55
366.952,60
368.122,64
368.757,65
369.880,46
370.755,39
371.688,39
372.946,40
373.729,38
374.896,41
376.166,42
376.703,46
377.631,60
378.863,59
379.875,56
380.605,51
381.773,33
382.748,25
383.576,39
384.833,29
385.678,43
386.697,69
387.814,71
388.646,63
389.524,29
390.743,33
391.621,33
392.549,41
393.766,30
394.594,34
395.664,29
396.885,37
397.768,57
398.496,58
399.839,63
400.685,69
401.621,64
402.640,46
403.564,42
404.442,42
405.706,43
406.540,40
407.416,30
408.679,41
409.512,43
410.633,22
411.608,0
412.486,0
413.365,20
414.582,16
415.651,15
416.386,0
417.604,18
418.433,26
419.407,40
420.529,37
421.456,29
422.477,33
423.503,32
424.670,23
425.309,20
426.622,0
427.476,29
428.283,33
429.545,40
430.386,35
431.352,33
432.473,31
433.448,39
434.229,42
435.447,30
