df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,battery
9.395,45
19.442,45
29.494,45
39.342,45
49.335,45
59.377,45
69.372,45
79.414,45
89.362,45
99.353,45
109.347,45
119.341,45
129.391,45
139.328,45
149.469,45
159.387,45
169.456,45
179.405,45
189.346,45
199.340,45
209.383,45
219.359,45
229.419,45
239.413,45
249.309,45
259.351,45
269.351,44
279.342,44
289.333,44
299.327,44
309.356,44
319.315,44
329.309,44
339.302,44
349.393,44
359.339,44
369.333,44
379.385,44
389.394,44
399.339,44
409.329,44
419.350,44
429.442,44
439.435,44
449.375,44
459.358,44
