df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,rr_int
11.310,4230
11.996,1880
12.138,810
13.552,765
14.332,660
15.064,680
15.892,780
15.899,845
16.725,10
16.870,900
17.696,10
18.671,930
19.500,945
19.503,920
20.328,10
20.331,835
21.157,10
21.160,830
22.132,10
22.961,875
22.966,900
23.796,10
24.555,795
25.203,725
26.032,705
26.959,780
27.693,865
27.790,925
28.762,10
28.765,915
29.702,10
29.835,905
30.329,10
31.039,790
31.064,705
31.736,10
32.565,685
32.760,805
33.442,10
34.369,880
35.372,925
36.175,940
36.270,835
37.050,10
37.832,790
38.695,825
39.593,925
40.317,915
41.047,795
41.053,740
41.877,10
42.559,740
43.534,800
44.362,955
45.216,830
45.435,865
46.074,10
46.751,735
46.754,690
47.482,10
47.486,690
48.139,10
49.091,765
49.920,850
50.651,885
51.334,815
52.016,705
52.921,690
53.674,750
54.503,850
55.429,870
55.434,830
56.063,10
56.209,750
56.916,10
56.989,725
57.574,10
58.549,810
59.535,905
59.670,955
60.353,235
61.182,650
61.186,835
62.010,15
62.014,885
63.183,10
63.960,940
64.789,950
65.475,805
66.397,790
67.277,830
68.201,920
68.255,870
69.018,10
70.110,820
70.785,890
71.663,925
72.081,855
72.443,210
72.447,575
73.125,10
73.129,775
74.103,10
75.325,845
75.661,870
76.391,800
77.171,720
77.176,760
78.001,10
78.976,835
79.804,920
80.504,845
81.269,770
82.144,755
82.147,870
83.021,10
83.070,870
84.050,10
84.094,815
84.585,210
85.362,540
86.190,785
87.020,870
87.848,870
88.632,795
89.505,745
90.257,760
91.163,880
91.894,880
91.897,790
92.631,10
92.723,765
93.458,10
94.381,840
95.258,925
95.261,855
96.086,10
96.769,775
97.599,780
98.426,820
98.433,840
99.255,10
99.938,735
99.942,775
100.859,15
100.913,875
101.913,10
101.920,945
102.722,10
103.549,900
104.374,810
104.381,855
105.251,10
106.081,865
106.786,800
107.452,710
108.275,755
109.275,855
109.980,880
110.760,765
110.858,750
111.589,10
111.592,825
112.470,10
112.616,880
113.344,10
114.124,910
114.127,800
114.953,10
114.958,790
115.782,10
116.708,845
117.589,890
118.171,795
119.155,760
120.027,775
120.510,795
120.514,775
121.293,10
121.339,685
121.925,10
122.629,695
122.753,775
123.436,10
124.264,820
124.364,770
124.947,10
125.854,760
126.753,820
127.630,895
128.457,895
128.460,780
129.139,10
129.144,790
130.115,10
130.967,890
131.772,910
131.777,770
132.459,10
133.478,770
134.258,890
135.088,900
135.818,805
136.717,775
136.891,820
136.988,205
136.991,15
137.622,15
138.597,660
138.605,855
138.694,210
138.765,25
138.792,15
138.797,10
138.840,10
138.844,10
138.848,10
138.851,15
138.893,10
138.904,15
138.913,15
139.133,45
140.011,360
140.852,795
141.473,835
142.205,760
143.033,715
143.037,760
143.862,10
144.691,840
145.422,800
145.471,710
146.059,10
146.961,745
146.964,795
147.762,10
148.593,825
149.282,775
149.858,685
150.687,720
151.613,795
152.198,840
152.201,775
153.124,10
153.173,725
153.953,10
153.957,810
154.002,10
154.005,15
154.009,10
154.051,15
154.054,15
154.099,65
154.104,30
154.107,10
154.197,10
154.227,15
154.640,205
155.534,365
156.342,940
157.074,825
157.902,775
158.754,805
158.784,840
159.414,10
160.096,760
160.973,715
160.976,830
161.923,10
162.684,840
163.463,815
163.610,770
164.314,10
164.340,835
165.412,10
165.946,855
166.531,775
166.534,675
167.311,10
167.318,695
168.058,10
168.871,795
169.700,865
170.382,810
171.120,705
171.943,740
172.771,810
173.599,850
173.794,775
174.282,200
174.965,485
175.013,695
175.696,10
175.699,725
175.842,10
176.528,200
177.354,605
178.036,830
178.085,780
178.865,10
179.693,765
180.669,875
181.501,905
181.794,840
182.270,10
182.932,720
183.740,755
184.719,845
185.592,915
185.690,875
186.423,10
186.472,800
187.298,10
187.302,890
188.224,10
189.005,915
189.833,920
189.839,820
190.674,10
191.491,775
191.540,835
192.515,10
193.343,885
194.053,895
194.303,790
195.155,195
195.785,590
196.512,865
196.515,885
197.341,10
197.344,805
198.171,10
198.185,770
199.048,10
199.877,850
200.802,885
201.534,865
202.265,765
203.066,790
204.069,845
204.851,895
205.535,815
206.315,725
207.092,750
207.920,830
208.749,865
209.531,730
210.163,700
211.022,735
212.164,865
212.750,885
212.798,820
213.357,10
213.361,715
214.180,10
215.088,725
215.725,795
216.549,835
216.552,810
216.794,10
217.325,225
217.916,490
218.645,695
219.621,720
220.352,850
221.132,845
221.822,730
221.963,700
222.539,10
223.325,725
224.202,800
224.495,845
224.890,235
225.568,505
225.571,720
226.445,10
226.448,755
227.127,10
227.957,805
228.785,840
229.468,760
230.206,715
230.979,755
231.881,815
232.734,870
233.367,730
234.342,745
234.347,805
235.123,10
235.881,850
235.909,770
236.596,10
237.365,745
238.340,840
238.946,875
239.218,1010
241.168,520
241.850,1490
242.847,660
242.978,720
242.981,320
243.076,30
243.114,15
243.117,15
243.181,10
243.215,15
243.249,240
244.044,780
244.807,10
244.873,790
244.926,10
245.019,165
245.022,75
245.459,15
245.462,10
245.597,10
245.604,100
