df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,heart_rate
8.433,46
9.335,46
10.237,46
11.456,46
12.333,46
13.260,46
14.430,46
15.405,46
16.529,46
17.355,81
18.305,54
19.158,56
20.477,67
21.303,67
22.135,68
23.351,69
24.475,70
25.106,72
26.348,73
27.349,75
28.080,76
29.299,75
30.180,72
31.132,70
32.370,71
33.150,71
34.076,74
35.270,75
36.123,73
37.113,71
38.346,70
39.097,70
40.024,70
41.217,70
42.120,71
42.997,72
44.167,73
45.124,74
46.020,73
47.190,72
48.067,72
48.994,76
50.120,78
51.041,76
51.919,76
53.158,76
54.040,77
54.893,77
56.284,77
57.015,76
57.866,75
59.085,75
59.963,75
60.841,73
62.133,71
62.936,69
63.863,68
65.032,68
65.910,68
66.791,69
68.007,69
68.884,70
69.862,71
70.980,70
71.867,69
72.785,69
73.963,70
74.831,70
75.758,71
76.929,73
77.805,74
78.735,75
79.901,75
80.779,75
81.705,74
82.926,74
83.801,74
85.072,74
85.851,74
86.824,74
87.701,74
88.823,74
89.847,74
90.626,74
91.796,74
92.731,74
93.652,74
94.822,73
95.696,72
96.623,72
97.793,72
98.708,73
99.548,74
100.775,75
101.742,75
102.523,74
103.741,72
104.618,70
105.544,69
106.714,69
107.615,71
108.473,73
109.714,74
110.572,75
111.492,75
112.710,75
113.539,74
114.470,73
115.635,72
116.513,71
117.488,71
118.615,71
119.535,73
120.413,74
121.583,75
122.558,77
123.387,79
124.557,80
125.495,80
126.362,80
127.532,78
128.505,77
129.355,75
130.607,74
131.479,72
132.308,71
133.579,71
134.406,71
135.282,71
136.549,72
137.378,73
138.256,72
139.504,72
140.352,73
141.261,73
142.448,74
143.326,75
144.203,76
145.524,76
146.300,77
147.226,77
148.396,77
149.339,77
150.200,78
151.369,78
152.247,78
153.177,78
154.343,78
155.221,77
156.147,77
157.320,76
158.194,75
159.218,74
160.341,74
161.168,75
162.436,76
163.264,76
164.146,76
165.117,76
166.249,75
167.165,75
168.045,76
169.212,77
170.187,77
171.027,78
172.186,77
173.112,77
173.992,77
175.237,77
176.086,78
177.061,78
178.183,79
179.234,79
179.938,78
181.156,77
182.034,75
183.060,75
184.130,74
185.033,74
185.885,74
187.236,74
187.981,72
188.907,70
190.104,69
190.955,69
191.861,69
193.051,70
193.929,70
194.857,71
196.025,71
196.902,71
197.828,71
198.999,72
200.001,72
200.851,72
202.021,72
202.996,73
203.776,73
204.946,73
205.898,73
206.750,74
207.925,75
208.922,75
209.821,76
210.895,77
211.822,77
212.801,77
213.965,77
214.793,76
215.673,76
216.942,76
217.771,77
218.669,77
219.864,78
220.797,78
221.813,78
222.837,78
223.715,78
224.643,78
225.811,78
226.838,78
227.618,78
228.790,78
229.738,78
230.638,78
231.759,78
232.685,78
233.665,78
234.781,78
235.756,77
236.584,77
237.707,77
238.730,76
239.559,75
240.781,75
241.661,75
242.835,75
243.800,75
244.580,80
246.701,81
247.602,82
248.558,81
249.650,81
250.576,81
251.405,81
252.630,80
253.550,80
254.427,80
255.646,79
256.487,79
257.353,79
258.669,79
259.501,80
260.428,80
261.545,80
262.672,80
263.349,80
264.575,80
265.396,80
266.323,80
267.545,80
268.493,80
269.296,80
270.588,80
271.344,79
272.270,78
273.490,77
274.416,77
275.443,76
276.437,76
277.340,75
278.305,75
279.388,73
280.314,71
281.292,69
282.361,68
283.288,68
284.225,68
285.335,68
286.310,68
287.142,69
288.358,69
289.235,70
290.211,71
291.331,70
292.213,70
293.087,73
294.308,76
295.232,77
296.158,76
297.377,76
298.157,75
299.043,75
300.253,75
301.130,75
302.032,75
303.275,75
304.133,75
305.030,76
306.249,78
307.078,79
308.004,79
309.174,80
310.084,79
311.027,79
312.154,79
313.054,79
314.000,79
315.122,80
316.097,81
316.975,82
318.095,81
319.022,81
319.899,81
321.069,81
322.044,81
322.875,81
324.096,81
325.023,81
325.896,75
327.066,73
327.943,70
328.844,72
330.039,72
331.114,71
331.794,71
333.013,71
333.891,71
334.768,76
335.987,79
336.864,76
337.791,75
338.968,75
339.887,75
340.813,75
341.934,75
342.861,77
343.739,76
344.908,78
345.835,79
346.721,79
347.931,80
348.809,80
349.832,80
350.904,80
351.786,80
352.659,80
353.881,80
354.804,80
355.633,79
356.852,78
357.730,77
358.619,76
359.875,76
360.752,76
361.750,78
362.800,80
363.729,80
364.896,80
365.775,80
366.802,81
367.528,81
368.747,81
369.625,82
370.551,81
371.721,81
372.647,81
373.525,81
374.795,81
375.622,81
376.498,81
377.717,82
378.618,82
379.524,82
380.642,82
381.609,82
382.446,82
383.616,82
384.542,82
385.521,82
386.690,82
387.516,82
388.443,82
389.612,82
390.644,80
391.370,80
392.586,80
393.464,80
394.341,80
395.634,80
396.440,79
397.412,79
398.534,78
399.418,79
400.337,79
401.557,78
402.385,78
403.362,77
404.579,77
405.359,77
406.308,78
407.458,78
408.332,78
409.309,78
410.477,78
411.306,77
412.233,77
413.402,76
414.349,76
415.206,75
416.376,75
417.302,75
418.182,76
419.357,78
420.276,80
421.180,79
422.324,78
423.276,78
