df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,ppg_quality
58.281,93
59.291,93
60.301,92
61.311,88
63.331,88
65.351,91
67.371,90
69.391,86
70.401,89
71.411,93
74.441,92
76.461,90
78.481,90
80.501,97
81.511,97
82.521,97
83.531,95
84.541,99
85.551,98
87.571,99
89.591,99
91.611,88
93.631,91
95.651,87
96.661,87
98.681,85
100.701,85
102.721,85
103.731,84
104.741,82
106.761,83
107.771,82
108.781,81
109.791,81
111.811,84
113.831,79
115.851,86
116.861,89
118.881,87
120.901,87
121.911,84
122.921,84
124.941,86
126.961,85
129.991,96
132.011,98
134.031,100
136.051,101
137.061,98
139.081,90
140.091,86
141.101,87
143.121,83
144.131,82
145.141,85
147.161,82
149.181,87
150.191,90
152.211,90
154.231,93
156.251,83
158.271,72
160.291,71
162.311,67
163.321,66
165.341,64
166.351,71
167.361,78
169.381,80
171.401,85
173.421,88
174.431,89
176.451,87
178.471,84
180.491,83
182.511,81
183.521,81
184.531,81
187.561,84
189.581,85
191.601,85
192.611,85
194.631,84
195.641,85
197.661,86
198.671,86
200.691,88
202.711,91
204.731,93
205.741,92
206.751,91
207.761,91
209.781,92
210.791,90
211.801,88
213.821,90
215.841,85
217.861,87
218.871,85
220.891,84
222.911,83
224.931,87
225.941,89
227.961,90
228.971,91
232.001,91
234.021,89
236.041,88
237.051,87
239.071,84
240.081,86
241.091,87
243.111,88
244.121,88
245.131,85
247.151,71
249.171,64
251.191,59
252.201,56
254.221,61
256.241,71
258.261,86
260.281,92
262.301,96
263.311,98
265.331,98
267.351,98
268.361,98
269.371,98
270.381,98
272.401,96
273.411,95
275.431,92
276.441,91
278.461,87
280.481,84
282.501,87
283.511,86
284.521,87
287.551,87
289.571,92
291.591,79
292.601,77
293.611,75
296.641,76
297.651,78
298.661,73
300.681,76
302.701,81
304.721,86
306.741,83
307.751,83
309.771,86
310.781,87
311.791,86
312.801,87
313.811,85
315.831,85
317.851,89
319.871,77
320.881,65
321.891,56
322.901,51
324.921,37
326.941,52
327.951,44
328.961,38
330.981,57
333.001,60
334.011,79
336.031,56
337.041,52
338.051,46
340.071,22
341.081,2
344.111,2
345.121,4
349.161,16
351.181,49
353.201,63
355.221,61
356.231,62
358.251,67
359.261,67
360.271,67
362.291,69
364.311,56
366.331,46
367.341,49
369.361,47
370.371,46
371.381,50
373.401,55
375.421,75
376.431,76
377.441,76
380.471,86
382.491,83
384.511,78
386.531,77
387.531,80
388.541,85
389.551,73
390.561,65
392.581,63
393.591,63
395.611,64
397.631,51
399.651,55
400.661,65
402.681,70
404.701,84
405.711,86
406.721,88
408.741,88
409.751,89
411.771,83
412.781,82
415.811,80
417.831,83
419.851,83
421.871,82
422.881,81
423.891,79
426.921,65
428.941,55
430.961,45
432.981,41
433.991,38
435.001,43
437.021,44
438.031,46
440.051,33
442.071,42
443.081,41
444.091,47
446.111,44
447.121,49
448.131,51
449.141,61
451.161,83
453.181,71
454.191,66
455.201,64
456.211,71
457.221,74
459.241,85
460.251,77
462.271,64
464.291,64
