df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,omega
29.854,0.498
31.062,0.491
31.129,0.498
32.624,0.504
32.861,0.500
36.292,0.504
50.119,0.503
54.018,0.504
59.823,0.505
61.237,0.506
62.108,0.505
64.163,0.505
68.254,0.506
68.362,0.507
83.271,0.505
84.147,0.505
88.048,0.503
90.298,0.498
96.824,0.498
98.482,0.504
109.307,0.504
110.770,0.504
110.868,0.498
120.566,0.487
121.396,0.463
124.319,0.452
124.431,0.445
131.827,0.445
133.535,0.440
145.523,0.436
147.082,0.436
151.624,0.432
173.700,0.429
173.898,0.427
175.111,0.425
181.793,0.429
189.300,0.425
190.077,0.423
191.606,0.423
196.574,0.422
197.397,0.422
198.268,0.416
199.901,0.415
216.793,0.420
226.503,0.420
234.452,0.420
235.953,0.417
238.393,0.413
247.992,0.413
252.293,0.405
253.171,0.412
253.841,0.412
254.537,0.408
260.647,0.403
262.573,0.403
263.495,0.399
264.379,0.399
265.322,0.398
270.470,0.395
272.774,0.396
279.667,0.395
284.080,0.396
309.955,0.395
381.425,0.396
409.655,0.373
414.676,0.381
