df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,quality
8.436,100
9.338,100
10.240,100
11.461,100
12.339,18
13.269,0
14.722,0
15.412,30
16.538,48
17.359,51
18.308,28
19.162,49
20.480,75
21.306,86
22.139,81
23.357,80
24.479,80
25.155,72
26.376,56
27.352,61
28.083,64
29.302,47
30.225,51
31.176,71
32.373,43
33.199,40
34.174,59
35.275,50
36.127,38
37.491,67
38.350,69
39.103,70
40.029,76
41.245,78
42.123,69
43.003,51
44.173,62
45.129,59
46.069,62
47.194,66
48.076,40
49.042,51
50.164,58
51.090,46
51.922,59
53.479,58
54.044,51
54.896,59
56.287,52
57.236,65
57.871,75
59.090,71
59.966,64
60.847,54
62.136,68
62.986,80
63.878,80
65.037,81
65.914,74
67.230,68
68.011,67
68.889,70
70.105,72
70.984,79
72.052,81
72.982,78
73.972,75
74.834,68
75.761,75
76.937,76
77.809,74
78.880,72
79.905,66
80.784,62
81.708,64
82.929,67
83.809,66
85.078,75
85.859,70
86.873,75
87.705,72
88.827,76
89.851,74
90.630,74
91.801,74
93.164,71
93.896,76
94.829,75
95.700,73
96.627,75
97.796,72
98.724,79
99.551,81
100.816,87
101.752,79
102.717,64
103.755,58
104.622,73
105.547,76
106.720,84
107.887,71
108.518,70
109.718,68
110.664,71
111.540,72
112.715,78
113.542,70
114.809,67
115.639,71
116.517,77
117.539,76
118.953,75
119.539,75
120.417,73
121.586,80
122.564,78
123.391,76
124.562,74
125.824,73
126.458,68
127.543,70
128.510,63
129.384,72
130.630,76
131.482,78
132.311,77
133.583,75
134.415,77
135.285,74
136.569,77
137.382,76
138.259,74
139.526,74
140.360,63
141.265,66
142.455,64
143.329,66
144.206,71
145.571,69
146.303,78
147.233,74
148.399,77
149.364,80
150.203,70
151.375,74
152.252,68
153.324,72
154.347,70
155.225,78
156.152,64
157.330,63
158.200,69
159.222,73
160.345,73
161.172,74
162.440,74
163.313,73
164.156,72
165.121,72
166.288,83
167.262,76
168.054,62
169.215,62
170.195,62
171.114,60
172.189,71
173.115,71
174.039,73
175.258,71
176.089,62
177.065,65
178.191,64
179.238,64
179.942,71
181.161,75
182.038,74
183.063,67
184.134,67
185.059,63
185.934,65
187.240,61
187.984,74
188.910,80
190.421,81
190.958,81
191.864,70
193.054,76
193.933,78
195.150,81
196.060,79
196.905,76
197.832,81
199.002,78
200.004,81
200.863,81
202.024,80
203.000,79
203.779,74
204.950,75
206.265,75
206.754,70
207.971,67
209.044,71
209.824,71
210.930,67
211.833,66
212.804,57
213.968,54
214.891,64
215.720,64
216.958,70
217.781,77
219.087,69
219.867,68
220.839,65
221.817,65
222.841,69
223.764,67
224.885,68
225.814,72
226.841,72
227.910,80
228.793,72
229.761,78
230.649,75
231.763,80
232.689,77
234.101,75
234.793,79
235.761,77
236.591,78
237.712,76
238.734,77
239.562,73
240.826,63
241.664,46
242.840,36
243.803,37
244.584,50
247.066,48
247.606,55
248.823,61
249.654,64
250.625,66
251.409,74
252.822,72
253.557,72
254.431,72
255.695,73
256.490,75
257.356,73
258.673,73
259.505,74
260.573,78
261.550,73
262.718,66
263.352,63
264.580,68
265.399,68
266.326,70
267.642,75
268.500,76
269.346,74
270.591,72
271.347,70
272.276,81
273.493,79
274.426,69
275.455,52
276.463,51
277.343,50
278.413,45
279.392,50
280.363,53
281.438,66
282.367,83
283.336,75
284.363,76
285.339,75
286.314,71
287.289,53
288.364,55
289.239,64
290.216,69
291.380,49
292.309,45
293.092,57
294.354,68
295.282,73
296.161,75
297.381,73
298.160,72
299.132,74
300.258,77
301.139,75
302.035,80
303.279,83
304.154,81
305.034,78
306.253,71
307.081,71
308.007,75
309.223,76
310.089,79
311.079,78
312.297,76
313.074,75
314.004,70
315.125,64
316.101,63
316.980,52
318.099,45
319.071,30
319.948,25
321.073,0
322.048,0
322.883,10
324.143,31
325.041,24
325.901,26
327.114,33
327.946,27
328.967,23
330.043,15
331.118,0
331.798,17
333.020,0
333.898,0
334.817,32
336.084,56
336.868,25
337.840,19
339.010,0
339.890,0
340.816,0
341.939,24
342.958,40
343.742,54
344.911,53
345.840,54
346.910,54
347.979,64
348.862,62
349.835,76
350.910,69
351.977,64
352.663,65
353.884,65
354.808,69
355.637,70
356.855,68
357.778,68
358.851,55
359.926,46
360.758,45
361.776,53
362.804,48
363.732,56
364.901,68
365.925,68
366.819,69
367.532,61
368.754,45
369.629,44
370.554,41
371.727,35
372.654,33
373.531,39
374.800,54
375.672,55
376.503,59
377.721,71
378.841,73
379.572,71
380.645,66
381.814,61
382.449,41
383.621,39
384.546,32
385.663,0
386.693,0
387.520,0
388.446,0
389.616,22
390.648,35
391.416,44
392.590,52
393.467,51
394.346,36
395.639,39
396.487,39
397.419,40
398.544,41
399.460,45
400.387,68
401.560,61
402.388,66
403.368,75
404.584,77
405.362,81
406.311,82
407.504,81
408.336,76
409.324,80
410.482,81
411.309,73
412.241,74
413.413,75
414.426,75
415.209,71
416.425,67
417.306,56
418.229,52
419.399,64
420.280,78
421.254,77
422.372,54
423.301,51
