df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,respiration_rate
69.831,14
74.041,14
78.951,15
83.081,15
87.171,15
91.241,15
95.431,15
100.171,15
104.601,15
109.471,15
113.631,15
117.771,14
122.271,14
127.131,14
131.421,14
135.561,14
139.661,15
144.371,18
149.041,19
153.591,17
157.721,18
162.531,18
166.591,18
171.161,17
175.721,17
180.531,17
184.601,16
189.021,16
193.291,16
197.511,16
201.711,16
205.821,15
210.411,16
214.451,16
219.041,15
223.621,8
228.301,8
233.061,8
237.731,8
243.841,8
248.221,9
252.861,9
257.361,9
261.751,8
307.731,15
312.341,16
317.451,17
334.491,16
341.731,17
347.061,17
