df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,ppg_quality
57.548,65
58.558,78
59.568,85
62.598,87
64.618,87
66.638,81
68.658,70
70.678,56
73.708,43
75.728,44
77.748,40
79.768,33
81.788,38
82.798,41
83.808,36
84.818,39
86.838,26
88.858,26
90.878,17
91.888,24
92.898,29
93.908,26
94.918,16
95.928,22
96.938,29
97.948,37
98.958,43
99.968,51
101.988,45
104.008,40
106.028,33
107.038,27
116.128,5
117.138,12
118.148,21
120.168,56
122.188,60
124.208,69
126.228,64
127.238,63
128.248,56
130.268,63
131.278,65
133.298,65
135.318,62
137.338,23
139.358,19
141.378,18
143.398,17
144.408,12
146.428,65
148.448,81
150.468,107
151.478,92
153.498,80
154.508,84
156.528,77
157.538,63
158.548,46
159.558,31
161.578,19
163.598,33
165.618,30
167.638,7
178.748,27
181.778,61
182.788,67
183.798,54
184.808,46
185.818,42
186.828,48
187.838,47
189.858,44
192.888,33
193.898,34
194.908,26
196.928,25
197.938,28
199.958,24
200.968,13
201.978,10
203.998,21
206.018,30
208.038,26
210.058,37
212.078,36
215.108,29
217.128,10
221.168,7
223.188,17
224.198,14
225.208,25
226.218,38
228.238,73
230.258,84
231.268,74
232.278,67
233.288,63
234.298,68
236.318,64
237.328,50
238.338,33
239.348,29
241.368,32
243.388,26
245.408,14
246.418,14
248.438,23
250.458,12
252.478,12
253.488,19
254.498,21
255.508,22
256.518,26
258.538,44
259.548,52
261.568,65
263.588,75
265.608,92
266.618,91
268.638,75
269.648,81
270.658,80
272.678,55
274.698,50
276.718,56
278.738,60
279.748,51
280.758,58
281.768,67
283.788,69
284.798,56
285.808,53
287.828,50
289.848,15
297.928,1
298.938,19
299.948,39
300.958,60
302.978,64
306.008,70
307.018,60
308.028,46
310.048,28
312.068,12
314.088,16
316.108,8
317.118,18
319.138,26
320.148,27
321.158,30
323.178,19
325.198,21
326.208,22
328.228,22
330.248,27
332.268,24
334.288,22
336.308,20
337.318,12
338.328,10
343.378,2
347.418,14
349.438,27
351.458,27
353.478,29
354.488,37
356.508,40
358.528,32
359.538,36
360.548,37
361.558,41
362.568,55
364.588,79
367.618,63
368.628,54
369.638,52
371.658,50
372.668,38
373.678,24
377.718,18
378.728,28
380.748,47
382.768,55
384.788,43
386.798,43
387.808,44
389.828,34
390.838,28
391.848,19
393.868,10
394.878,14
395.888,7
396.898,7
397.908,3
404.978,5
406.998,17
409.018,15
410.028,17
411.038,30
413.058,31
415.078,19
416.088,15
418.108,23
420.128,32
422.148,13
424.168,23
425.178,26
427.198,25
428.208,15
429.218,19
431.238,33
433.258,38
435.278,31
436.288,32
437.298,33
439.318,49
441.338,46
444.368,79
446.388,84
447.398,80
448.408,65
449.418,59
451.438,35
452.448,19
457.498,2
458.508,20
459.518,32
461.538,62
462.548,75
463.558,81
464.568,83
466.588,84
468.608,63
469.618,61
470.628,65
472.648,79
473.658,86
474.668,81
476.688,62
477.698,56
479.718,47
481.738,27
483.758,1
485.778,3
486.788,8
488.808,13
490.828,8
492.848,15
494.868,41
