df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,temperature
5.082,33.719
6.064,33.781
7.081,33.781
8.104,33.812
9.080,33.844
10.104,33.812
11.079,33.844
12.103,33.875
13.078,33.875
14.101,33.969
15.082,34.000
16.149,34.094
17.082,34.125
18.098,34.156
19.074,34.156
20.098,34.250
21.094,34.250
22.096,34.281
23.071,34.375
24.095,34.344
25.318,34.375
26.094,34.375
27.069,34.438
28.093,34.469
29.082,34.500
30.092,34.531
31.067,34.562
32.091,34.594
33.066,34.594
34.089,34.625
35.064,34.625
36.088,34.656
37.063,34.656
38.087,34.688
39.062,34.688
40.118,34.719
41.112,34.750
42.086,34.750
43.059,34.781
44.083,34.781
45.082,34.781
46.082,34.781
47.089,34.812
48.081,34.812
49.056,34.844
50.080,34.844
51.201,34.844
52.078,34.875
53.150,34.875
54.077,34.906
55.141,34.906
56.076,34.938
57.100,34.938
58.074,34.969
59.098,34.969
60.073,35.000
61.097,34.906
62.073,34.938
63.100,34.938
64.071,34.969
65.095,35.000
66.118,35.000
67.108,35.094
68.069,35.094
69.092,35.094
70.067,35.125
71.101,35.219
72.066,35.250
73.090,35.219
74.065,35.188
75.089,35.250
76.064,35.250
77.088,35.156
78.064,35.156
79.086,35.188
80.065,35.188
81.085,35.188
82.060,35.188
83.083,35.250
84.059,35.281
85.180,35.312
86.211,35.312
87.086,35.375
88.057,35.375
89.082,35.344
90.104,35.375
91.079,35.375
92.072,35.438
93.079,35.438
94.053,35.438
95.084,35.438
96.209,35.438
97.075,35.406
98.099,35.375
99.074,35.406
100.123,35.500
101.122,35.500
102.048,35.469
103.072,35.500
104.051,35.500
105.070,35.500
106.094,35.500
107.086,35.531
108.093,35.562
109.068,35.562
110.091,35.500
111.215,35.531
112.091,35.531
113.066,35.531
114.090,35.562
115.069,35.562
116.088,35.594
117.065,35.594
118.089,35.625
119.062,35.656
120.085,35.656
121.061,35.656
122.084,35.625
123.060,35.625
124.089,35.625
125.207,35.656
126.082,35.656
127.060,35.656
128.099,35.656
129.056,35.656
130.083,35.625
131.056,35.656
132.079,35.688
133.054,35.656
134.077,35.625
135.052,35.625
136.079,35.688
137.051,35.656
138.149,35.688
139.050,35.719
140.073,35.750
141.049,35.719
142.072,35.719
143.048,35.719
144.071,35.781
145.050,35.812
146.368,35.750
147.389,35.750
148.069,35.719
149.045,35.719
150.068,35.719
151.091,35.750
152.066,35.781
153.141,35.812
154.065,35.781
155.089,35.781
156.310,35.781
157.088,35.781
158.063,35.750
159.087,35.781
160.062,35.812
161.089,35.781
162.257,35.781
163.084,35.812
164.064,35.812
165.082,35.844
166.061,35.875
167.082,35.906
168.057,35.938
169.080,35.938
170.055,35.906
171.228,35.906
172.054,35.938
173.078,35.938
174.053,35.938
175.076,35.875
176.052,35.906
177.076,35.875
178.343,35.875
179.074,35.875
180.049,35.875
181.318,35.875
182.194,35.875
183.072,35.875
184.047,35.875
185.070,35.906
186.051,35.906
187.069,35.875
188.045,35.906
189.095,35.906
190.043,35.906
191.067,35.875
192.267,35.875
193.066,35.875
194.041,35.875
195.065,35.906
196.088,35.812
197.063,35.812
198.039,35.844
199.083,35.844
200.037,35.875
201.070,35.875
202.036,35.875
203.406,35.875
204.084,35.875
205.059,35.875
206.082,36.000
207.058,36.000
208.081,36.000
209.056,36.000
210.079,36.000
211.093,36.031
212.079,36.062
213.054,36.062
214.077,36.031
215.118,36.062
216.076,36.000
217.306,36.000
218.075,35.969
219.098,35.969
220.074,35.969
221.049,35.969
222.072,35.969
223.048,35.969
224.077,36.000
225.046,36.031
226.070,36.000
227.045,36.000
228.082,36.031
229.044,36.062
230.094,36.094
231.242,36.031
232.066,36.031
233.042,36.062
234.065,36.062
235.040,36.031
236.090,36.000
237.039,36.000
238.072,35.969
239.235,35.938
240.062,35.969
241.085,36.000
242.060,35.969
243.035,35.969
244.059,35.969
245.048,35.938
246.057,35.969
247.084,36.000
248.057,36.031
249.032,36.031
250.055,36.031
251.030,36.031
252.154,36.031
253.090,35.969
254.053,35.969
255.077,36.031
256.052,36.031
257.076,36.031
258.394,36.031
259.074,36.031
260.055,35.969
261.076,35.969
262.291,35.969
263.072,36.000
264.047,36.000
265.070,35.969
266.045,35.969
267.075,35.938
268.045,35.938
269.068,35.938
270.043,35.938
271.067,35.938
272.044,35.938
273.081,35.938
274.241,35.906
275.069,35.938
276.040,35.906
277.066,35.906
278.039,35.906
279.062,35.906
280.037,35.906
281.065,35.906
282.039,35.938
283.060,35.938
284.036,35.969
285.058,35.938
286.033,35.969
287.057,35.938
288.033,35.938
289.056,35.906
290.081,35.906
291.054,35.875
292.179,35.844
293.056,35.844
294.029,35.844
295.052,35.875
296.027,35.875
297.085,35.875
298.272,35.875
299.050,35.875
300.073,35.875
301.049,35.906
302.072,35.875
303.196,35.875
304.071,35.906
305.046,35.875
306.070,35.812
307.048,35.781
308.101,35.812
309.065,35.844
310.068,35.875
311.043,35.875
312.066,35.906
313.062,35.906
314.068,35.875
315.040,35.875
316.074,35.969
317.185,36.000
