df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,heart_rate
34.579,106
35.454,106
36.380,106
37.550,106
38.428,102
39.354,104
40.525,103
41.401,103
42.328,103
43.498,103
44.400,103
45.302,100
46.476,99
47.398,98
48.275,96
49.445,94
50.372,92
51.249,91
52.443,90
53.373,90
54.223,90
55.393,90
56.319,90
57.201,90
58.415,90
59.296,90
60.170,90
61.390,90
62.267,90
63.176,88
64.363,89
65.241,89
66.122,89
67.337,90
68.218,91
69.098,90
70.319,90
71.218,90
72.069,90
73.310,90
74.162,90
75.040,90
76.258,90
77.136,89
78.013,89
79.232,91
80.110,91
80.991,91
82.206,91
83.087,91
84.032,91
85.183,91
86.061,91
86.935,91
88.154,93
89.031,91
89.957,91
91.127,91
92.036,91
92.931,91
94.101,91
94.980,91
95.905,91
97.080,90
97.952,90
98.879,90
100.049,90
100.956,91
101.853,91
103.022,90
103.924,90
104.826,90
105.996,90
106.923,90
107.800,90
108.998,90
109.896,83
110.969,82
111.944,79
112.870,78
113.748,79
114.969,78
115.850,78
116.721,78
117.892,78
118.818,78
119.696,78
120.914,78
121.794,71
122.669,73
123.890,71
124.765,71
125.939,74
126.862,78
127.743,79
128.617,80
129.836,80
130.713,81
131.639,81
132.809,80
133.982,80
134.613,80
135.798,80
136.670,80
137.587,80
138.806,80
139.634,80
140.561,80
141.731,80
142.608,80
143.535,80
144.704,77
145.631,78
146.508,77
147.678,81
148.605,82
149.482,83
150.948,85
151.580,83
152.491,83
153.626,85
154.552,84
155.430,84
156.649,87
157.526,88
158.403,90
159.573,89
160.500,89
161.377,89
162.596,89
163.474,88
164.354,87
165.570,86
166.448,84
167.476,85
168.544,84
169.421,84
170.299,84
171.520,84
172.395,84
173.297,88
174.491,89
175.369,89
176.246,89
177.465,88
178.346,86
179.220,85
180.439,84
181.322,84
182.197,83
183.413,83
184.290,82
185.168,82
186.387,82
187.264,82
188.190,83
189.360,84
190.281,84
191.164,84
192.727,83
193.212,83
194.138,83
195.310,83
196.185,83
197.112,83
198.577,83
199.160,83
200.091,83
201.280,85
202.133,86
203.059,86
204.229,86
205.107,85
206.033,84
207.204,84
208.086,84
209.007,84
210.192,84
211.351,84
211.981,84
213.151,84
214.082,84
214.986,84
216.125,83
217.053,82
217.928,82
219.152,82
220.025,82
220.903,80
222.076,81
222.998,80
223.881,82
225.054,82
225.972,81
226.850,84
228.070,84
228.946,84
230.072,83
231.042,83
231.940,82
232.797,84
234.016,83
234.894,84
235.771,83
236.990,83
238.063,83
238.747,83
239.964,84
240.864,85
241.724,84
242.947,84
243.815,87
244.693,88
245.911,89
246.789,89
247.666,90
248.885,89
249.763,91
250.689,89
251.859,93
252.778,90
253.685,91
254.832,90
255.710,90
256.636,92
257.855,93
258.979,94
259.610,96
260.780,97
261.661,98
262.584,99
263.754,100
264.631,99
265.558,99
266.749,99
267.849,99
268.532,99
269.702,99
270.628,100
271.505,99
272.727,100
273.602,98
274.480,98
275.698,98
276.575,99
277.480,99
278.649,99
279.549,98
280.427,98
281.597,98
282.526,98
283.401,98
284.571,98
285.499,98
286.374,99
287.544,93
288.481,96
289.348,95
290.589,95
291.444,88
292.322,86
293.591,85
294.430,84
295.296,84
296.519,84
297.392,84
298.416,84
299.488,84
300.366,84
301.243,84
302.462,84
303.339,88
304.217,80
305.458,86
306.314,87
307.238,86
308.410,85
309.287,85
310.189,90
311.383,87
312.261,91
313.188,88
314.406,89
315.235,94
316.161,91
317.356,85
318.229,88
319.186,87
320.310,87
321.182,86
322.109,86
323.282,86
324.158,86
325.088,86
326.252,86
327.133,86
328.056,92
329.251,88
330.127,89
331.030,88
332.201,88
333.126,81
334.012,85
335.174,83
336.102,77
336.978,80
338.148,79
339.074,78
339.952,79
341.121,79
342.125,78
342.925,78
344.144,78
345.021,78
345.899,78
347.069,78
348.005,78
348.873,78
350.092,82
350.970,84
351.846,82
353.069,82
353.943,75
354.872,73
356.039,70
356.917,67
357.794,65
359.013,64
359.890,65
360.772,65
361.987,64
362.864,71
363.742,68
365.059,67
365.838,67
366.715,67
367.934,66
368.812,65
369.738,65
370.908,65
371.786,68
372.714,71
373.886,69
374.763,68
375.686,68
376.857,68
377.805,68
378.659,68
379.829,69
380.707,66
381.633,66
382.803,75
383.681,81
384.607,84
385.777,84
386.654,83
387.581,83
388.751,83
389.677,83
390.554,83
391.773,83
392.651,83
393.529,83
394.698,80
395.625,81
396.503,77
397.672,79
398.604,78
399.479,78
400.941,78
401.572,78
402.596,78
403.668,78
404.695,78
405.423,82
406.642,83
407.520,81
408.397,81
409.638,78
410.493,79
411.470,78
412.590,78
413.467,78
414.394,78
415.564,78
416.441,78
417.379,78
418.537,74
419.438,76
420.292,81
421.511,80
422.390,81
423.315,80
424.485,77
425.377,76
426.289,77
427.513,76
428.336,76
429.271,76
430.436,76
431.313,76
432.236,76
433.407,76
434.284,76
435.210,75
436.411,74
437.258,74
438.234,74
439.354,74
440.231,74
441.158,74
442.328,74
443.209,74
444.132,74
445.301,74
446.205,82
447.105,86
448.279,86
