df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,rr_int
8.933,3920
9.763,285
10.494,920
10.737,640
11.176,320
11.568,460
12.005,385
12.151,330
12.541,255
12.545,360
12.708,195
13.809,675
13.955,515
15.076,635
15.320,485
15.905,290
16.880,610
17.124,980
17.416,480
19.757,1610
20.049,810
20.633,265
21.028,525
21.462,520
22.145,435
22.681,595
23.120,555
23.413,510
23.656,485
25.327,1160
25.899,520
26.435,555
27.025,540
27.167,580
27.556,250
28.239,295
28.824,695
28.828,645
28.971,10
28.988,10
28.994,20
29.071,10
30.069,60
30.338,1065
30.628,310
31.018,300
31.749,500
32.287,595
32.825,535
33.407,560
33.943,615
34.679,585
35.358,670
36.575,700
37.404,1205
37.410,845
37.697,10
37.989,585
38.818,655
39.407,240
39.416,515
39.793,15
40.231,470
40.476,435
41.158,275
41.305,800
42.571,1135
42.575,115
42.621,35
43.108,10
43.693,480
44.229,635
44.912,570
45.643,605
46.471,735
46.629,800
47.026,160
47.714,420
48.422,695
49.104,715
49.787,760
50.225,635
50.616,405
51.054,420
51.204,635
52.419,580
52.858,655
53.154,420
53.546,290
53.833,370
54.518,365
54.808,570
55.637,385
56.173,785
56.856,620
57.587,595
58.562,725
58.806,1085
59.245,175
59.780,460
60.366,540
61.048,610
61.877,715
62.462,750
63.291,645
64.122,780
64.512,1155
64.656,230
65.631,425
66.318,600
66.899,665
67.581,650
67.727,590
68.849,210
69.276,1160
69.677,305
70.392,450
70.995,660
71.488,580
72.181,620
72.846,680
73.681,630
74.260,870
74.943,585
75.235,685
75.239,270
75.478,10
76.161,310
76.308,695
76.453,205
76.457,25
76.746,25
77.428,295
78.111,715
78.257,630
78.261,215
78.699,10
79.379,380
80.061,655
80.208,745
80.353,235
81.332,425
81.720,655
82.012,355
82.694,325
83.284,660
83.965,635
84.351,655
84.356,380
84.400,10
84.643,260
85.619,605
86.450,435
87.033,800
87.321,560
87.325,285
87.568,10
88.547,310
88.838,940
89.377,275
90.055,560
90.375,675
91.177,345
92.590,775
93.029,1475
93.276,640
94.247,715
94.638,305
95.223,355
95.929,660
96.588,700
97.272,680
98.004,635
98.542,715
99.220,575
99.805,650
100.487,640
101.170,640
102.294,700
103.416,1060
103.807,1285
104.534,355
105.076,685
105.509,575
105.607,380
106.338,165
106.582,705
107.313,295
107.557,635
107.996,400
108.970,375
109.507,945
110.628,565
111.311,1190
112.042,615
112.615,800
113.260,550
113.555,675
113.846,505
115.747,735
116.046,1260
116.332,325
117.014,275
118.136,705
118.674,1075
119.159,400
119.501,610
120.089,440
120.475,500
121.207,440
121.210,670
121.894,10
122.572,665
123.255,730
124.232,750
124.816,780
125.643,770
126.326,745
127.008,735
127.011,710
127.739,10
128.422,690
129.251,730
129.934,745
130.312,740
130.616,250
131.347,450
131.591,715
131.883,260
132.859,295
133.004,935
133.691,260
134.129,335
134.812,700
134.954,665
136.076,255
137.882,1115
139.685,1460
140.077,2110
141.194,505
141.341,1015
141.880,225
142.316,360
142.999,515
143.145,910
144.266,450
144.948,655
145.388,685
145.485,640
147.045,770
147.581,685
148.264,610
148.995,695
149.531,725
149.677,705
151.048,510
151.335,855
151.633,235
152.310,305
153.043,675
153.675,680
154.288,710
154.796,570
155.479,635
156.064,620
156.747,555
157.429,760
157.728,700
158.165,320
158.843,325
159.379,745
160.110,615
160.792,645
161.475,635
162.304,710
162.986,825
163.718,720
164.407,715
164.546,710
164.936,160
165.088,605
166.057,380
166.789,590
167.325,715
167.329,550
168.008,10
168.155,830
169.129,380
169.812,580
170.353,645
171.079,615
171.620,620
172.298,665
172.882,605
173.565,595
173.711,705
174.248,190
175.126,515
175.759,785
176.492,700
177.322,690
178.001,770
178.684,795
179.269,700
180.098,665
180.927,780
181.640,800
182.298,685
183.191,735
183.854,785
184.388,790
185.217,605
185.801,720
186.045,595
186.634,240
187.167,550
187.995,695
188.678,750
189.118,665
189.131,510
189.134,10
189.409,230
190.438,970
191.482,480
192.271,625
193.261,700
193.407,1220
193.411,10
193.557,245
194.676,845
195.649,250
195.653,1010
195.801,10
196.039,150
196.771,280
197.453,580
197.600,735
198.185,200
198.721,485
198.964,660
198.969,215
199.403,10
199.647,430
199.940,275
200.665,320
200.914,675
200.918,250
201.451,10
202.280,515
203.013,815
203.729,765
203.940,700
204.377,10
205.205,730
205.351,770
205.497,240
206.618,410
207.449,710
207.739,915
208.715,325
209.692,940
210.085,995
210.177,340
210.185,10
210.909,10
211.372,875
212.322,425
212.566,990
212.858,230
213.005,450
213.882,840
214.664,10
214.702,550
215.250,310
216.079,405
216.222,1165
217.441,965
217.733,255
217.739,245
217.785,25
217.793,30
219.102,10
219.928,1405
220.658,740
220.917,775
221.731,240
221.734,835
222.023,10
222.852,315
222.855,615
222.859,220
223.438,15
224.120,475
224.803,690
225.393,700
226.216,625
227.195,765
227.616,1035
228.263,440
229.096,730
229.823,735
230.506,745
231.253,675
231.535,695
231.725,300
231.871,280
231.874,155
231.922,10
231.933,10
232.456,10
232.605,730
233.675,715
233.679,335
233.821,10
