df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,quality
34.674,52
35.460,47
36.388,36
37.554,37
38.431,53
39.358,45
40.772,44
41.405,31
42.331,30
43.501,28
44.719,35
45.305,30
46.621,29
47.401,30
48.279,37
49.449,40
50.375,49
51.252,48
52.447,53
53.540,40
54.226,28
55.396,31
56.323,32
57.492,32
58.418,35
59.393,0
60.176,0
61.395,34
62.272,27
63.181,26
64.367,27
65.244,34
66.313,35
67.340,39
68.266,38
69.257,31
70.377,38
71.481,43
72.163,46
73.675,45
74.165,42
75.043,51
76.262,50
77.149,42
78.017,38
79.236,51
80.114,54
81.039,53
82.209,57
83.278,62
84.036,63
85.475,61
86.206,35
86.984,36
88.159,42
89.034,36
89.962,36
91.131,22
92.050,30
92.936,0
94.112,0
95.077,0
95.919,0
97.083,44
97.957,59
98.884,58
100.054,52
100.975,59
101.856,51
103.026,0
104.047,9
104.830,0
106.000,0
106.926,8
107.803,0
109.002,23
109.900,33
110.973,34
111.947,38
112.874,36
113.751,24
115.064,23
116.039,29
116.725,30
117.895,0
118.823,0
119.702,0
120.917,0
121.890,32
122.672,23
124.083,25
124.769,26
125.942,33
126.867,72
127.840,75
128.621,75
129.840,77
130.717,72
131.643,64
132.813,44
133.986,36
134.617,37
135.932,14
136.907,47
137.593,100
138.809,100
139.638,75
140.564,69
141.734,41
142.612,0
143.538,0
144.708,24
145.634,20
146.514,31
147.681,30
148.609,39
149.486,53
150.950,36
151.628,34
152.751,34
153.630,38
154.556,37
155.433,34
156.652,43
157.529,63
158.407,60
159.577,46
160.503,50
161.384,54
162.599,51
163.477,44
164.400,48
165.574,58
166.451,50
167.483,49
168.548,34
169.425,20
170.303,17
171.615,22
172.398,28
173.302,41
174.495,61
175.372,47
176.251,42
177.470,55
178.443,65
179.224,63
180.445,66
181.609,69
182.293,50
183.416,44
184.295,52
185.171,55
186.390,49
187.267,47
188.193,64
189.364,64
190.433,61
191.168,54
192.731,38
193.216,33
194.150,30
195.359,0
196.189,5
197.115,15
198.580,0
199.174,0
200.385,0
201.283,27
202.137,40
203.063,41
204.233,44
205.110,39
206.038,72
207.208,54
208.132,38
209.012,43
210.375,21
211.355,32
211.984,19
213.154,22
214.421,0
215.058,0
216.128,31
217.298,28
217.950,29
219.540,0
220.030,26
220.909,29
222.465,28
223.002,23
224.071,34
225.387,35
225.976,34
226.853,41
228.077,41
228.952,38
230.082,48
231.048,49
232.020,47
232.800,52
234.019,51
234.899,48
235.776,44
236.993,46
238.067,40
238.988,49
239.968,51
240.939,51
241.916,37
242.990,37
243.819,41
244.696,44
245.961,43
246.793,42
247.670,45
248.889,39
249.766,43
250.707,39
251.866,40
252.912,40
253.715,39
254.838,28
255.721,27
256.640,34
257.858,37
258.984,43
259.614,50
260.785,59
261.953,52
262.588,39
263.757,41
264.635,38
265.561,0
266.779,17
267.853,21
268.535,26
269.705,27
270.631,36
271.509,29
272.776,37
273.605,45
274.483,48
275.702,44
276.579,50
277.490,58
278.652,55
279.552,37
280.431,37
281.602,0
282.573,0
283.404,0
284.574,0
285.505,0
286.377,31
287.548,31
288.766,25
289.352,27
290.715,31
291.448,39
292.326,33
293.594,39
294.516,48
295.301,47
296.904,28
297.396,30
298.419,21
299.492,24
300.370,29
301.247,25
302.465,27
303.343,33
304.220,37
305.634,30
306.365,31
307.241,0
308.413,28
309.291,28
310.362,34
311.387,30
312.266,36
313.193,36
314.411,30
315.239,34
316.167,37
317.360,30
318.455,26
319.193,0
320.361,0
321.185,8
322.112,25
323.574,22
324.256,6
325.379,0
326.256,0
327.181,0
328.060,23
329.278,21
330.131,0
331.033,0
332.204,0
333.131,32
334.053,0
335.177,0
336.197,32
336.981,26
338.151,26
339.077,26
339.958,32
341.124,34
342.137,32
342.930,21
344.147,19
345.027,18
345.902,18
347.076,24
348.044,22
348.876,24
350.096,28
351.067,31
351.851,22
353.312,24
353.946,31
354.887,39
356.043,46
356.920,51
357.798,53
359.016,50
359.895,36
360.916,27
361.992,28
362.869,40
363.747,39
365.062,34
365.844,28
366.722,28
367.937,33
368.818,37
369.742,27
370.913,23
371.789,32
373.007,33
373.889,21
374.808,23
375.691,15
376.903,0
377.809,0
378.663,27
379.833,30
380.710,29
381.638,30
382.808,38
383.686,43
384.611,37
385.797,38
386.658,26
387.584,37
388.756,33
389.680,31
390.558,32
391.776,26
392.654,30
393.536,23
394.701,28
395.647,25
396.522,26
397.676,24
398.701,31
399.525,26
400.945,27
401.575,27
402.599,24
403.674,23
404.700,28
405.427,27
406.647,33
407.523,24
408.401,33
409.957,27
410.497,23
411.480,21
412.599,19
413.470,18
414.397,19
415.567,25
416.444,22
417.616,27
418.541,26
419.562,21
420.296,32
421.518,38
422.686,51
423.318,30
424.489,39
425.381,37
426.294,13
427.609,0
428.340,24
429.412,14
430.533,0
431.463,0
432.241,0
433.412,0
434.288,20
435.214,31
436.425,23
437.262,28
438.284,23
439.357,0
440.237,0
441.207,0
442.331,31
443.354,47
444.135,35
445.307,22
446.208,30
447.109,34
448.424,52
